IMGNAME	DB_PRAUC	DB_FSPEAK	DB_MAXREC	DBALT_PRAUC	DBALT_FSPEAK	DBALT_MAXREC
mESC4d_Tsix-AF594	0.342772	0.493478	1.000000	NaN	NaN	NaN
mESC4d_Xist-CY5	0.385838	0.497937	0.996364	NaN	NaN	NaN
scrna_E1R2I4_STL1	0.335717	0.437809	0.994891	NaN	NaN	NaN
scrna_E1R2I4_CTT1	0.389758	0.486500	0.996124	NaN	NaN	NaN
scrna_E2R1I2_STL1	0.286708	0.405006	0.990896	NaN	NaN	NaN
scrna_E2R1I2_CTT1	0.344908	0.495133	0.980915	NaN	NaN	NaN
scrna_E2R2I3_STL1	0.371364	0.483323	0.996641	NaN	NaN	NaN
scrna_E2R2I3_CTT1	0.407994	0.560833	0.982857	NaN	NaN	NaN
scrna_E2R2I5_STL1	0.396658	0.498840	0.995804	NaN	NaN	NaN
scrna_E2R2I5_CTT1	0.466659	0.596396	0.986111	NaN	NaN	NaN
mESC_loday_D0I18_Xist	0.430154	0.559441	1.000000	NaN	NaN	NaN
mESC_loday_D0I18_Tsix	0.350786	0.453629	0.995763	NaN	NaN	NaN
mESC_loday_D0I04_Xist	0.446943	0.584615	1.000000	NaN	NaN	NaN
mESC_loday_DHI07_Xist	0.518756	0.613139	0.978723	NaN	NaN	NaN
mESC_loday_DHI32_Xist	0.641522	0.657143	1.000000	NaN	NaN	NaN
mESC_loday_D1I02_Xist	0.561289	0.654397	0.994186	NaN	NaN	NaN
mESC_loday_D1I02_Tsix	0.347512	0.463104	0.996552	NaN	NaN	NaN
mESC_loday_D1I15_Xist	0.418314	0.530329	0.982759	NaN	NaN	NaN
scprotein_Msb2_4M1m	0.443517	0.585593	0.982188	NaN	NaN	NaN
scprotein_Msb2_4M5m	0.431502	0.591923	0.970356	NaN	NaN	NaN
scprotein_Opy2_4M1m	0.512866	0.635945	0.959184	NaN	NaN	NaN
scprotein_Opy2_4M5m	0.460863	0.641304	0.946524	NaN	NaN	NaN
sim_mESC_histone_100x_1	0.973044	0.976764	0.987795	0.995942	0.996996	0.996530
sim_mESC_histone_100x_2	0.969821	0.974602	0.985327	0.996389	0.997002	0.997334
sim_mESC_histone_100x_3	0.972376	0.976832	0.988037	0.995651	0.997033	0.996836
sim_mESC_RNA_100x_1	0.617954	0.770975	0.994286	0.792098	0.851638	0.995708
sim_mESC_RNA_100x_2	0.505119	0.706468	0.995327	0.781918	0.845501	0.992126
sim_mESC_RNA_100x_3	0.625987	0.775785	0.994350	0.769412	0.836134	0.995455
sim_mESC_RNA_LE_100x_1	0.552316	0.737864	1.000000	0.633797	0.758621	1.000000
sim_mESC_RNA_LE_100x_2	0.519095	0.716981	1.000000	0.555458	0.672897	1.000000
sim_mESC_RNA_LE_100x_3	0.441756	0.672000	0.976744	0.525856	0.655738	0.979592
sim_mESC_RNA_LEHB_100x_1	0.882063	0.942529	0.976190	0.865928	0.924528	0.960784
sim_mESC_RNA_LEHB_100x_2	0.999160	0.985507	1.000000	0.882568	0.894118	1.000000
sim_mESC_RNA_LEHB_100x_3	NaN	NaN	NaN	NaN	NaN	NaN
sim_mESC_RNA_TMRLike_100x_1	0.507973	0.717949	0.991525	0.861831	0.906217	0.995516
sim_mESC_RNA_TMRLike_100x_2	0.474548	0.689311	0.980114	0.883633	0.923560	1.000000
sim_mESC_RNA_TMRLike_100x_3	0.503466	0.701187	0.990854	0.876856	0.913440	0.997531
sim_yeast_proteinGFP_100x_1	0.844419	0.950166	0.928571	0.978188	0.988964	0.979549
sim_yeast_proteinGFP_100x_2	0.924583	0.962712	0.940397	0.977976	0.989180	0.979267
sim_yeast_proteinGFP_100x_1_blur	0.641427	0.652363	0.986842	0.931818	0.964706	0.931818
sim_yeast_proteinGFP_100x_2_blur	0.631120	0.653276	0.982625	0.919050	0.962025	0.974359
sim_yeast_RNA_CY5like_100x_1	0.925514	0.955224	0.992248	0.993149	0.995740	0.995740
sim_yeast_RNA_CY5like_100x_2	0.934787	0.959088	0.989448	0.990442	0.993656	0.991669
sim_yeast_RNA_LE_CY5like_100x_1	0.883355	0.931677	1.000000	0.876944	0.882353	1.000000
sim_yeast_RNA_LE_CY5like_100x_2	0.877176	0.930233	0.987654	0.898233	0.913462	0.980583
sim_yeast_RNA_TMRlike_100x_1	0.733194	0.858479	0.994015	0.994022	0.996775	0.995491
sim_yeast_RNA_TMRlike_100x_2	0.739535	0.863636	0.991026	0.992317	0.994972	0.993411
histonesc_D0I1B_H3K36me3_Histone	0.615176	0.793831	0.942197	NaN	NaN	NaN
histonesc_D0I1C_H3K36me3_Tsix	0.115932	0.217526	0.987755	NaN	NaN	NaN
histonesc_D0I2A_H3K36me3_Histone	0.718670	0.861333	0.947214	NaN	NaN	NaN
histonesc_D0I3A_H3K36me3_Tsix	0.123124	0.227095	0.991561	NaN	NaN	NaN
histonesc_D0I3B_H3K36me3_Xist	0.332251	0.500000	1.000000	NaN	NaN	NaN
histonesc_D0I3C_H3K36me3_Xist	0.326459	0.437500	1.000000	NaN	NaN	NaN
histonesc_D2I1A_H3K36me3_Histone	0.637640	0.819820	0.934932	NaN	NaN	NaN
histonesc_D2I1C_H3K36me3_Histone	0.530663	0.764347	0.931548	NaN	NaN	NaN
histonesc_D2I2A_H3K36me3_Xist	0.315589	0.434457	1.000000	NaN	NaN	NaN
histonesc_D2I2B_H3K36me3_Xist	0.357628	0.463668	0.983051	NaN	NaN	NaN
histonesc_D2I2C_H3K36me3_Tsix	0.142550	0.251046	1.000000	NaN	NaN	NaN
histonesc_D2I3C_H3K36me3_Tsix	0.149329	0.264755	0.996032	NaN	NaN	NaN
ROI001_P01_XY1657818948_Z00_T0_CY5	0.633309	0.848000	0.946429	NaN	NaN	NaN
ROI001_P03_XY1657818950_Z00_T0_CY5	0.741282	0.846154	0.942857	NaN	NaN	NaN
ROI001_P04_XY1657818951_Z00_T0_GFP	0.840372	0.914286	0.941176	NaN	NaN	NaN
ROI001_P07_XY1657818954_Z00_T0_GFP	0.681825	0.833333	0.930233	NaN	NaN	NaN
ROI011_XY1657822942_Z00_T0_CY5	0.421429	0.727273	1.000000	NaN	NaN	NaN
ROI012_XY1657822943_Z00_T0_GFP	1.000000	1.000000	1.000000	NaN	NaN	NaN
ROI017_XY1657822948_Z00_T0_GFP	1.000000	1.000000	1.000000	NaN	NaN	NaN
ROI017_XY1657822948_Z00_T0_CY5	NaN	NaN	NaN	NaN	NaN	NaN
ROI002_XY1657815441_Z00_T0_GFP	0.199244	0.325000	1.000000	NaN	NaN	NaN
ROI002_XY1657815441_Z00_T0_CY5	0.246418	0.348624	0.977273	NaN	NaN	NaN
ROI003_XY1657814110_Z00_T0_GFP	0.421376	0.626866	1.000000	NaN	NaN	NaN
ROI012_XY1657814119_Z00_T0_CY5	0.370006	0.547771	1.000000	NaN	NaN	NaN
histonesc_D0I1E_H3K4me2_Histone	0.425026	0.669939	0.947917	NaN	NaN	NaN
