IMGNAME	GROUP_A	GROUP_B	HB_MAXREC	HB_AUC	HB_FSCORE	BF_MAXREC	BF_AUC	BF_FSCORE	RS_MAXREC	RS_AUC	DB_MAXREC	DB_AUC
mESC4d_Tsix-AF594	Tsix_AF594	mESC4d_Tsix	1.000000	0.901694	0.827044	0.902527	0.838799	0.793277	0.932862	0.584470	0.946996	0.754339
mESC4d_Xist-CY5	Xist_CY5	Xist_Hi	0.996564	0.863627	0.822186	0.775862	0.717125	0.693164	0.896907	0.384138	0.845361	0.665827
scrna_E1R2I4_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	1.000000	0.907284	0.878317	0.762169	0.711721	0.786380	0.987339	0.902547	0.857962	0.693408
scrna_E1R2I4_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	1.000000	0.967677	0.895522	0.740811	0.726582	0.819706	0.971857	0.930434	0.827392	0.710620
scrna_E2R1I2_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	1.000000	0.877064	0.828669	0.792069	0.682749	0.123146	0.992094	0.884293	0.825533	0.560541
scrna_E2R1I2_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	1.000000	0.873351	0.823730	0.782863	0.604967	0.099577	0.991062	0.852761	0.762199	0.519257
scrna_E2R2I3_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	0.993569	0.927577	0.916201	0.745981	0.726910	0.774816	0.989282	0.942182	0.873526	0.774471
scrna_E2R2I3_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	0.998756	0.932840	0.869945	0.749689	0.704670	0.759919	0.986318	0.920540	0.814677	0.716975
scrna_E2R2I5_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	0.997396	0.932614	0.933251	0.701434	0.691776	0.775837	0.977865	0.930234	0.850455	0.789224
scrna_E2R2I5_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	1.000000	0.934994	0.894260	0.706250	0.658712	0.725559	0.979167	0.891080	0.708333	0.634460
mESC_loday_D0I18_Xist	Xist_CY5	Xist_Lo	1.000000	0.926475	0.895928	0.916667	0.794527	0.745902	0.955357	0.200543	0.919643	0.854030
mESC_loday_D0I18_Tsix	Tsix_TMR	Tsix_loday	0.967871	0.933264	0.793388	0.894737	0.854431	0.823077	0.955823	0.793239	0.915663	0.767299
mESC_loday_D0I04_Xist	Xist_CY5	Xist_Lo	1.000000	0.847618	0.941176	1.000000	0.937127	0.442478	1.000000	0.080179	0.960000	0.910790
mESC_loday_DHI07_Xist	Xist_CY5	Xist_Lo	1.000000	0.853897	0.658537	1.000000	0.771022	0.661290	0.943396	0.048986	0.867925	0.754527
mESC_loday_DHI32_Xist	Xist_CY5	Xist_Lo	1.000000	0.951211	0.816327	1.000000	0.775150	0.422764	1.000000	0.026263	0.896552	0.844194
mESC_loday_D1I02_Xist	Xist_CY5	Xist_Hi	0.989130	0.904392	0.718447	0.869565	0.806295	0.743529	0.885870	0.140891	0.885870	0.816921
mESC_loday_D1I02_Tsix	Tsix_TMR	Tsix_loday	0.976589	0.904439	0.720988	0.894558	0.792482	0.757709	0.956522	0.814311	0.939799	0.693777
mESC_loday_D1I15_Xist	Xist_CY5	Xist_Hi	0.995781	0.855442	0.863551	0.741525	0.669153	0.690763	0.945148	0.470233	0.894515	0.778569
scprotein_Msb2_4M1m	scprotein	Msb2	1.000000	0.901095	0.746392	0.986989	0.604303	0.566381	0.963768	0.809581	0.705993	0.552092
scprotein_Msb2_4M5m	scprotein	Msb2	1.000000	0.888530	0.813000	0.975851	0.459224	0.108494	0.982514	0.787239	0.520487	0.405740
scprotein_Opy2_4M1m	scprotein	Opy2	1.000000	0.901015	0.804159	1.000000	0.301984	0.016565	0.986928	0.820119	0.463816	0.387640
scprotein_Opy2_4M5m	scprotein	Opy2	1.000000	0.883453	0.804734	0.988764	0.658806	0.620939	0.988796	0.792789	0.487324	0.389359
histonesc_D0I1B_H3K36me3_Histone	Histone_AF488	H3K36me3_D0	0.932306	0.757084	0.157149	0.887436	0.709117	0.363985	0.897531	0.692715	0.229118	0.212212
histonesc_D0I1C_H3K36me3_Tsix	Tsix_TMR	Tsix_wHist	0.957198	0.842198	0.154135	0.805447	0.722623	0.684932	0.941634	0.816551	0.828794	0.210271
histonesc_D0I2A_H3K36me3_Histone	Histone_AF488	H3K36me3_D0	0.997347	0.798518	0.090986	0.961062	0.801605	0.547931	0.000000	NaN	0.141026	0.131691
histonesc_D0I3A_H3K36me3_Tsix	Tsix_TMR	Tsix_wHist	0.983607	0.819775	0.199250	0.823770	0.704100	0.656000	0.946721	0.766931	0.848361	0.223923
histonesc_D0I3B_H3K36me3_Xist	Xist_CY5	Xist_Lo	0.973684	0.641521	0.602740	0.894737	0.520866	0.283186	0.973684	0.038826	0.868421	0.483718
