IMGNAME	GROUP_A	GROUP_B	HB_COUNT	HB_MAXREC	HB_AUC	HB_FSCORE	BF_COUNT	BF_MAXREC	BF_AUC	BF_FSCORE	RS_MAXREC	RS_AUC	DB_MAXREC	DB_AUC
mESC4d_Tsix-AF594	TsixE_AF594	mESC4d_Tsix	353	1.000000	0.901694	0.827044	304	0.902174	0.843836	0.810345	0.932624	0.585907	0.946809	0.756838
mESC4d_Xist-CY5	XistE_CY5	XistE_Hi	322	0.996564	0.863627	0.822186	339	0.775862	0.717125	0.693164	0.896907	0.386254	0.848797	0.668116
scrna_E1R2I4_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	6401	1.000000	0.907284	0.878317	4549	0.762027	0.716601	0.790833	0.987329	0.907362	0.868515	0.704201
scrna_E1R2I4_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	1279	1.000000	0.967677	0.895522	842	0.740811	0.729799	0.821860	0.971857	0.933742	0.837711	0.719164
scrna_E2R1I2_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	4099	1.000000	0.877064	0.828669	202	0.792069	0.687653	0.123146	0.992094	0.884022	0.839986	0.566596
scrna_E2R1I2_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	4137	1.000000	0.873351	0.823730	164	0.782863	0.646237	0.099674	0.991062	0.859289	0.786598	0.534357
scrna_E2R2I3_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	1036	0.993569	0.927577	0.916201	830	0.745981	0.726910	0.774816	0.989282	0.942406	0.882101	0.780044
scrna_E2R2I3_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	1026	0.998756	0.932840	0.869945	684	0.749689	0.704918	0.759919	0.986318	0.920494	0.839552	0.733154
scrna_E2R2I5_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	850	0.997396	0.932614	0.933251	607	0.701434	0.691776	0.775837	0.977865	0.930484	0.858257	0.794544
scrna_E2R2I5_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	513	1.000000	0.934994	0.894260	369	0.706250	0.658712	0.725559	0.979167	0.891069	0.718750	0.641888
mESC_loday_D0I18_Xist	XistE_CY5	XistE_Lo	109	1.000000	0.926475	0.895928	129	0.916667	0.850832	0.767932	0.955357	0.201699	0.919643	0.878490
mESC_loday_D0I18_Tsix	TsixE_TMR	Tsix_loday	356	0.967871	0.933264	0.793388	268	0.894309	0.854858	0.828794	0.955823	0.794849	0.923695	0.772372
mESC_loday_D0I04_Xist	XistE_CY5	XistE_Lo	26	1.000000	0.847618	0.941176	84	1.000000	0.940079	0.458716	1.000000	0.082789	0.960000	0.911056
mESC_loday_D0I29_Tsix	TsixE_TMR	Tsix_loday	255	1.000000	0.956090	0.891013	290	1.000000	0.914096	0.820611	1.000000	0.651518	1.000000	0.889124
mESC_loday_DHI07_Xist	XistE_CY5	XistE_Lo	29	1.000000	0.853897	0.658537	71	1.000000	0.771059	0.661290	0.944444	0.048430	0.886792	0.766605
mESC_loday_DHI07_Tsix	TsixE_TMR	Tsix_loday	336	1.000000	0.932986	0.689922	186	1.000000	0.852601	0.838150	1.000000	0.807907	1.000000	0.776362
mESC_loday_DHI32_Xist	XistE_CY5	XistE_Lo	20	1.000000	0.951211	0.816327	93	1.000000	0.779137	0.426230	1.000000	0.027157	0.896552	0.844194
mESC_loday_DHI32_Tsix	TsixE_TMR	Tsix_loday	178	1.000000	0.935532	0.802676	156	1.000000	0.890111	0.795539	1.000000	0.771861	1.000000	0.859604
mESC_loday_D1I02_Xist	XistE_CY5	XistE_Hi	125	0.989130	0.904392	0.718447	233	0.869565	0.829541	0.757794	0.887097	0.145721	0.885870	0.832335
mESC_loday_D1I02_Tsix	TsixE_TMR	Tsix_loday	511	0.976589	0.904439	0.720988	373	0.893471	0.799007	0.768072	0.956522	0.818138	0.946488	0.697325
mESC_loday_D1I15_Xist	XistE_CY5	XistE_Hi	298	0.995781	0.855442	0.863551	262	0.741525	0.669153	0.690763	0.945148	0.470807	0.907173	0.785613
mESC_loday_D1I32_Tsix	TsixE_TMR	Tsix_loday	674	1.000000	0.942720	0.658706	371	1.000000	0.910786	0.842105	1.000000	0.832840	1.000000	0.795010
scprotein_Msb2_4M1m	scprotein	Msb2	903	1.000000	0.901095	0.746392	1301	0.986989	0.618484	0.575313	0.963768	0.814213	0.722846	0.567530
scprotein_Msb2_4M5m	scprotein	Msb2	1082	1.000000	0.888530	0.813000	14877	0.975798	0.471205	0.112378	0.982495	0.792901	0.542636	0.421267
scprotein_Opy2_4M1m	scprotein	Opy2	271	1.000000	0.901015	0.804159	35123	1.000000	0.307430	0.017106	0.986885	0.824798	0.485149	0.401324
scprotein_Opy2_4M5m	scprotein	Opy2	319	1.000000	0.883453	0.804734	730	0.988732	0.670234	0.632258	0.988764	0.793294	0.518310	0.415213
histonesc_D0I1B_H3K36me3_Histone	Histone_AF488	H3K36me3_D0	187	0.932306	0.757084	0.157149	8277	0.887436	0.709117	0.363985	0.897531	0.692366	0.244984	0.225167
histonesc_D0I1C_H3K36me3_Tsix	TsixI_TMR	Tsix_wHist	2935	0.957198	0.842198	0.154135	250	0.805447	0.724469	0.690335	0.941634	0.817761	0.832685	0.211076
histonesc_D0I2A_H3K36me3_Histone	Histone_AF488	H3K36me3_D0	112	0.997347	0.798518	0.090986	5595	0.961062	0.801605	0.547931	0.000000	NaN	0.148541	0.138008
histonesc_D0I3A_H3K36me3_Tsix	TsixI_TMR	Tsix_wHist	2155	0.983607	0.819775	0.199250	245	0.823770	0.727348	0.670757	0.946721	0.781434	0.852459	0.226338
histonesc_D0I3B_H3K36me3_Xist	XistI_CY5	XistI_Lo	35	0.973684	0.641521	0.602740	182	0.894737	0.521121	0.290909	0.973684	0.036056	0.894737	0.494747
histonesc_D0I3C_H3K36me3_Xist	XistI_CY5	XistI_Lo	10	1.000000	0.779650	0.636364	92	0.916667	0.827169	0.211538	1.000000	0.087001	1.000000	0.687615
histonesc_D2I1A_H3K36me3_Histone	Histone_AF488	H3K36me3_D2	198	0.998641	0.878212	0.229940	10422	0.983673	0.796953	0.243189	0.998640	0.848726	0.388019	0.353996
histonesc_D2I1C_H3K36me3_Histone	Histone_AF488	H3K36me3_D2	172	0.976567	0.830603	0.187322	5351	0.937540	0.709282	0.419942	0.907492	0.693111	0.213426	0.167288
histonesc_D2I2A_H3K36me3_Xist	XistI_CY5	XistI_Hi	114	0.968421	0.882772	0.832536	141	0.842105	0.767751	0.644068	0.926316	0.385535	0.926316	0.738297
histonesc_D2I2B_H3K36me3_Xist	XistI_CY5	XistI_Hi	126	0.992000	0.930548	0.908367	117	0.784000	0.726202	0.768595	0.888000	0.395422	0.904000	0.730465
histonesc_D2I2C_H3K36me3_Tsix	TsixI_TMR	Tsix_wHist	2095	0.973684	0.756087	0.219399	29368	0.808271	0.613312	0.014510	0.939850	0.768273	0.827068	0.238622
histonesc_D2I3C_H3K36me3_Tsix	TsixI_TMR	Tsix_wHist	2151	0.933824	0.782024	0.208007	27823	0.772059	0.647433	0.014878	0.886029	0.671810	0.830882	0.255720
ROI001_P01_XY1657818948_Z00_T0_CY5	HeLa_CY5	HeLa_CY5	577	0.997050	0.915583	0.731441	622	0.955752	0.680475	0.668054	0.991150	0.754953	0.138643	0.116643
ROI001_P03_XY1657818950_Z00_T0_CY5	HeLa_CY5	HeLa_CY5	474	0.988372	0.871401	0.688525	540	0.957364	0.834793	0.611529	0.992248	0.716236	0.100775	0.078962
ROI001_P04_XY1657818951_Z00_T0_GFP	HeLa_GFP	HeLa_GFP	1079	0.937355	0.802845	0.532450	3305	0.890951	0.108992	0.205567	0.983759	0.583812	0.034803	0.034038
ROI001_P07_XY1657818954_Z00_T0_GFP	HeLa_GFP	HeLa_GFP	2545	0.833703	0.673904	0.433420	3037	0.796009	0.633802	0.364052	0.851974	0.564806	0.090909	0.085833
ROI011_XY1657822942_Z00_T0_CY5	HeLa_CY5	HeLa_CY5	61	0.978261	0.868360	0.822430	85	0.956522	0.920188	0.671756	0.913043	0.740231	0.086957	0.086957
ROI012_XY1657822943_Z00_T0_GFP	HeLa_GFP	HeLa_GFP	51	0.995434	0.743254	0.333333	1365	0.913242	0.133007	0.251263	0.995434	0.261423	0.004566	0.004566
ROI017_XY1657822948_Z00_T0_GFP	HeLa_GFP	HeLa_GFP	831	0.978723	0.769655	0.588235	3918	0.920213	0.106748	0.160689	1.000000	0.341249	0.013298	0.013298
ROI017_XY1657822948_Z00_T0_CY5	HeLa_CY5	HeLa_CY5	158	1.000000	0.966094	0.760784	190	0.989691	0.965451	0.668990	0.919192	0.777438	NaN	NaN
ROI002_XY1657815441_Z00_T0_GFP	HeLa_GFP	HeLa_GFP	4001	0.950000	0.928593	0.009450	97	0.950000	0.582258	0.324786	1.000000	0.925172	0.950000	0.563498
ROI002_XY1657815441_Z00_T0_CY5	HeLa_CY5	HeLa_CY5	2576	0.931034	0.812069	0.041002	158	0.931034	0.521948	0.472222	0.982759	0.723997	0.758621	0.451726
ROI003_XY1657814110_Z00_T0_GFP	HeLa_GFP	HeLa_GFP	1658	0.947368	0.799039	0.177146	1653	0.923977	0.787479	0.173246	0.947368	0.667191	0.380117	0.250860
ROI012_XY1657814119_Z00_T0_CY5	HeLa_CY5	HeLa_CY5	1995	0.982143	0.835250	0.104414	1968	0.982143	0.795260	0.105769	0.982143	0.649574	0.437500	0.306378
histonesc_D0I1E_H3K4me2_Histone	Histone_AF488	H3K4me2_D0	262	0.980695	0.686137	0.373436	4145	0.918159	0.632565	0.291455	0.978975	0.664165	0.363281	0.242521
histonesc_D2I1E_H3K4me2_Tsix	TsixI_TMR	Tsix_wHist	2225	0.950877	0.835611	0.215139	236	0.782456	0.657483	0.660269	0.936620	0.766676	0.838596	0.234612
histonesc_D2I2D_H3K4me2_Xist	XistI_CY5	XistI_Hi	166	0.992481	0.847588	0.822742	141	0.787879	0.685982	0.710623	0.939394	0.426408	0.901515	0.652967
histonesc_D2I2D_H3K4me2_Histone	Histone_AF488	H3K4me2_D2	650	0.976727	0.870953	0.605449	4573	0.891811	0.778214	0.402100	0.975904	0.825749	0.574548	0.511434
histonesc_D2I3D_H3K4me2_Xist	XistI_CY5	XistI_Hi	169	1.000000	0.876297	0.748148	172	0.881188	0.794029	0.644689	0.960396	0.426769	0.960396	0.727325
rsfish_celegans	Preibisch_celegans	Preibisch_celegans	6174	1.000000	0.963430	0.295376	1393	0.923436	0.901937	0.801948	0.998133	0.910350	0.364146	0.294858
