TOOL_A	TOOL_B	METRIC	MANN_WHITNEY	MW_p	GROUP_A
NeuertLab	Big-FISH	MAX_RECALL	34	0.21943598564443628	XistE_CY5
NeuertLab	RS-FISH	MAX_RECALL	39	0.06261737421478718	XistE_CY5
NeuertLab	DeepBlink	MAX_RECALL	49	0.0019295145299833827	XistE_CY5
Big-FISH	RS-FISH	MAX_RECALL	20	0.601170041783918	XistE_CY5
Big-FISH	DeepBlink	MAX_RECALL	27	0.7974247416578414	XistE_CY5
RS-FISH	DeepBlink	MAX_RECALL	39	0.07332163858419326	XistE_CY5
NeuertLab	Big-FISH	PR_AUC	42	0.026223776223776224	XistE_CY5
NeuertLab	RS-FISH	PR_AUC	49	0.00058275058275058275	XistE_CY5
NeuertLab	DeepBlink	PR_AUC	40	0.05303030303030303	XistE_CY5
Big-FISH	RS-FISH	PR_AUC	49	0.00058275058275058275	XistE_CY5
Big-FISH	DeepBlink	PR_AUC	21	0.7103729603729605	XistE_CY5
RS-FISH	DeepBlink	PR_AUC	0	0.00058275058275058275	XistE_CY5
NeuertLab	Big-FISH	F_SCORE	42	0.026223776223776224	XistE_CY5
NeuertLab	RS-FISH	F_SCORE	NA	NA	XistE_CY5
NeuertLab	DeepBlink	F_SCORE	NA	NA	XistE_CY5
Big-FISH	RS-FISH	F_SCORE	NA	NA	XistE_CY5
Big-FISH	DeepBlink	F_SCORE	NA	NA	XistE_CY5
RS-FISH	DeepBlink	F_SCORE	NA	NA	XistE_CY5
NeuertLab	Big-FISH	MAX_RECALL	36	0.004998124765082461	XistI_CY5
NeuertLab	RS-FISH	MAX_RECALL	29.5	0.07556634781800108	XistI_CY5
NeuertLab	DeepBlink	MAX_RECALL	31	0.04382636546609423	XistI_CY5
Big-FISH	RS-FISH	MAX_RECALL	2	0.008658008658008658	XistI_CY5
Big-FISH	DeepBlink	MAX_RECALL	3.5	0.02472171233844612	XistI_CY5
RS-FISH	DeepBlink	MAX_RECALL	22.5	0.5196411841272132	XistI_CY5
NeuertLab	Big-FISH	PR_AUC	29	0.09307359307359307	XistI_CY5
NeuertLab	RS-FISH	PR_AUC	36	0.0021645021645021645	XistI_CY5
NeuertLab	DeepBlink	PR_AUC	31	0.04112554112554113	XistI_CY5
Big-FISH	RS-FISH	PR_AUC	36	0.0021645021645021645	XistI_CY5
Big-FISH	DeepBlink	PR_AUC	24	0.3939393939393939	XistI_CY5
RS-FISH	DeepBlink	PR_AUC	0	0.0021645021645021645	XistI_CY5
NeuertLab	Big-FISH	F_SCORE	27	0.17965367965367965	XistI_CY5
NeuertLab	RS-FISH	F_SCORE	NA	NA	XistI_CY5
NeuertLab	DeepBlink	F_SCORE	NA	NA	XistI_CY5
Big-FISH	RS-FISH	F_SCORE	NA	NA	XistI_CY5
Big-FISH	DeepBlink	F_SCORE	NA	NA	XistI_CY5
RS-FISH	DeepBlink	F_SCORE	NA	NA	XistI_CY5
NeuertLab	Big-FISH	MAX_RECALL	20	0.7750292601639038	TsixE_TMR
NeuertLab	RS-FISH	MAX_RECALL	20	0.7750292601639038	TsixE_TMR
NeuertLab	DeepBlink	MAX_RECALL	20	0.7750292601639038	TsixE_TMR
Big-FISH	RS-FISH	MAX_RECALL	16	0.7750292601639038	TsixE_TMR
Big-FISH	DeepBlink	MAX_RECALL	16	0.7750292601639038	TsixE_TMR
RS-FISH	DeepBlink	MAX_RECALL	20	0.7750292601639038	TsixE_TMR
NeuertLab	Big-FISH	PR_AUC	34	0.008658008658008658	TsixE_TMR
NeuertLab	RS-FISH	PR_AUC	36	0.0021645021645021645	TsixE_TMR
NeuertLab	DeepBlink	PR_AUC	36	0.0021645021645021645	TsixE_TMR
Big-FISH	RS-FISH	PR_AUC	33	0.015151515151515152	TsixE_TMR
Big-FISH	DeepBlink	PR_AUC	30	0.06493506493506493	TsixE_TMR
RS-FISH	DeepBlink	PR_AUC	16	0.8181818181818182	TsixE_TMR
NeuertLab	Big-FISH	F_SCORE	9	0.17965367965367965	TsixE_TMR
NeuertLab	RS-FISH	F_SCORE	NA	NA	TsixE_TMR
NeuertLab	DeepBlink	F_SCORE	NA	NA	TsixE_TMR
Big-FISH	RS-FISH	F_SCORE	NA	NA	TsixE_TMR
Big-FISH	DeepBlink	F_SCORE	NA	NA	TsixE_TMR
RS-FISH	DeepBlink	F_SCORE	NA	NA	TsixE_TMR
NeuertLab	Big-FISH	MAX_RECALL	25	0.007936507936507936	TsixI_TMR
NeuertLab	RS-FISH	MAX_RECALL	21	0.09523809523809523	TsixI_TMR
NeuertLab	DeepBlink	MAX_RECALL	25	0.007936507936507936	TsixI_TMR
Big-FISH	RS-FISH	MAX_RECALL	0	0.007936507936507936	TsixI_TMR
Big-FISH	DeepBlink	MAX_RECALL	0	0.007936507936507936	TsixI_TMR
RS-FISH	DeepBlink	MAX_RECALL	25	0.007936507936507936	TsixI_TMR
NeuertLab	Big-FISH	PR_AUC	25	0.007936507936507936	TsixI_TMR
NeuertLab	RS-FISH	PR_AUC	20	0.15079365079365079	TsixI_TMR
NeuertLab	DeepBlink	PR_AUC	25	0.007936507936507936	TsixI_TMR
Big-FISH	RS-FISH	PR_AUC	2	0.031746031746031744	TsixI_TMR
Big-FISH	DeepBlink	PR_AUC	25	0.007936507936507936	TsixI_TMR
RS-FISH	DeepBlink	PR_AUC	25	0.007936507936507936	TsixI_TMR
NeuertLab	Big-FISH	F_SCORE	10	0.6904761904761905	TsixI_TMR
NeuertLab	RS-FISH	F_SCORE	NA	NA	TsixI_TMR
NeuertLab	DeepBlink	F_SCORE	NA	NA	TsixI_TMR
Big-FISH	RS-FISH	F_SCORE	NA	NA	TsixI_TMR
Big-FISH	DeepBlink	F_SCORE	NA	NA	TsixI_TMR
RS-FISH	DeepBlink	F_SCORE	NA	NA	TsixI_TMR
NeuertLab	Big-FISH	MAX_RECALL	16	0.029401048190339663	CTT1_CY5_Smpl
NeuertLab	RS-FISH	MAX_RECALL	16	0.029401048190339663	CTT1_CY5_Smpl
NeuertLab	DeepBlink	MAX_RECALL	16	0.029401048190339663	CTT1_CY5_Smpl
Big-FISH	RS-FISH	MAX_RECALL	0	0.02857142857142857	CTT1_CY5_Smpl
Big-FISH	DeepBlink	MAX_RECALL	0	0.02857142857142857	CTT1_CY5_Smpl
RS-FISH	DeepBlink	MAX_RECALL	16	0.02857142857142857	CTT1_CY5_Smpl
NeuertLab	Big-FISH	PR_AUC	16	0.02857142857142857	CTT1_CY5_Smpl
NeuertLab	RS-FISH	PR_AUC	6	0.6857142857142857	CTT1_CY5_Smpl
NeuertLab	DeepBlink	PR_AUC	16	0.02857142857142857	CTT1_CY5_Smpl
Big-FISH	RS-FISH	PR_AUC	0	0.02857142857142857	CTT1_CY5_Smpl
Big-FISH	DeepBlink	PR_AUC	6	0.6857142857142857	CTT1_CY5_Smpl
RS-FISH	DeepBlink	PR_AUC	16	0.02857142857142857	CTT1_CY5_Smpl
NeuertLab	Big-FISH	F_SCORE	16	0.02857142857142857	CTT1_CY5_Smpl
NeuertLab	RS-FISH	F_SCORE	NA	NA	CTT1_CY5_Smpl
NeuertLab	DeepBlink	F_SCORE	NA	NA	CTT1_CY5_Smpl
Big-FISH	RS-FISH	F_SCORE	NA	NA	CTT1_CY5_Smpl
Big-FISH	DeepBlink	F_SCORE	NA	NA	CTT1_CY5_Smpl
RS-FISH	DeepBlink	F_SCORE	NA	NA	CTT1_CY5_Smpl
NeuertLab	Big-FISH	MAX_RECALL	16	0.026518721959430742	STL1_TMR_Smpl
NeuertLab	RS-FISH	MAX_RECALL	16	0.026518721959430742	STL1_TMR_Smpl
NeuertLab	DeepBlink	MAX_RECALL	16	0.026518721959430742	STL1_TMR_Smpl
Big-FISH	RS-FISH	MAX_RECALL	0	0.02857142857142857	STL1_TMR_Smpl
Big-FISH	DeepBlink	MAX_RECALL	3	0.2	STL1_TMR_Smpl
RS-FISH	DeepBlink	MAX_RECALL	16	0.02857142857142857	STL1_TMR_Smpl
NeuertLab	Big-FISH	PR_AUC	16	0.02857142857142857	STL1_TMR_Smpl
NeuertLab	RS-FISH	PR_AUC	12	0.34285714285714286	STL1_TMR_Smpl
NeuertLab	DeepBlink	PR_AUC	16	0.02857142857142857	STL1_TMR_Smpl
Big-FISH	RS-FISH	PR_AUC	0	0.02857142857142857	STL1_TMR_Smpl
Big-FISH	DeepBlink	PR_AUC	9	0.8857142857142857	STL1_TMR_Smpl
RS-FISH	DeepBlink	PR_AUC	16	0.02857142857142857	STL1_TMR_Smpl
NeuertLab	Big-FISH	F_SCORE	16	0.02857142857142857	STL1_TMR_Smpl
NeuertLab	RS-FISH	F_SCORE	NA	NA	STL1_TMR_Smpl
NeuertLab	DeepBlink	F_SCORE	NA	NA	STL1_TMR_Smpl
Big-FISH	RS-FISH	F_SCORE	NA	NA	STL1_TMR_Smpl
Big-FISH	DeepBlink	F_SCORE	NA	NA	STL1_TMR_Smpl
RS-FISH	DeepBlink	F_SCORE	NA	NA	STL1_TMR_Smpl
NeuertLab	Big-FISH	MAX_RECALL	26	0.2281328677481371	HeLa_CY5
NeuertLab	RS-FISH	MAX_RECALL	22.5	0.5211099829589064	HeLa_CY5
NeuertLab	DeepBlink	MAX_RECALL	30	0.004329004329004329	HeLa_CY5
Big-FISH	RS-FISH	MAX_RECALL	14.5	0.6303555263618644	HeLa_CY5
Big-FISH	DeepBlink	MAX_RECALL	30	0.004329004329004329	HeLa_CY5
RS-FISH	DeepBlink	MAX_RECALL	30	0.004329004329004329	HeLa_CY5
NeuertLab	Big-FISH	PR_AUC	25	0.30952380952380953	HeLa_CY5
NeuertLab	RS-FISH	PR_AUC	36	0.0021645021645021645	HeLa_CY5
NeuertLab	DeepBlink	PR_AUC	30	0.004329004329004329	HeLa_CY5
Big-FISH	RS-FISH	PR_AUC	25	0.30952380952380953	HeLa_CY5
Big-FISH	DeepBlink	PR_AUC	30	0.004329004329004329	HeLa_CY5
RS-FISH	DeepBlink	PR_AUC	30	0.004329004329004329	HeLa_CY5
NeuertLab	Big-FISH	F_SCORE	24	0.3939393939393939	HeLa_CY5
NeuertLab	RS-FISH	F_SCORE	NA	NA	HeLa_CY5
NeuertLab	DeepBlink	F_SCORE	NA	NA	HeLa_CY5
Big-FISH	RS-FISH	F_SCORE	NA	NA	HeLa_CY5
Big-FISH	DeepBlink	F_SCORE	NA	NA	HeLa_CY5
RS-FISH	DeepBlink	F_SCORE	NA	NA	HeLa_CY5
NeuertLab	Big-FISH	MAX_RECALL	28.5	0.1086945807965248	HeLa_GFP
NeuertLab	RS-FISH	MAX_RECALL	10	0.22731282288651525	HeLa_GFP
NeuertLab	DeepBlink	MAX_RECALL	32.5	0.02472171233844612	HeLa_GFP
Big-FISH	RS-FISH	MAX_RECALL	6	0.06508095865779161	HeLa_GFP
Big-FISH	DeepBlink	MAX_RECALL	30.5	0.05424111755977098	HeLa_GFP
RS-FISH	DeepBlink	MAX_RECALL	34	0.01290657041965344	HeLa_GFP
NeuertLab	Big-FISH	PR_AUC	33	0.015151515151515152	HeLa_GFP
NeuertLab	RS-FISH	PR_AUC	31	0.04112554112554113	HeLa_GFP
NeuertLab	DeepBlink	PR_AUC	36	0.0021645021645021645	HeLa_GFP
Big-FISH	RS-FISH	PR_AUC	12	0.3939393939393939	HeLa_GFP
Big-FISH	DeepBlink	PR_AUC	30	0.06493506493506493	HeLa_GFP
RS-FISH	DeepBlink	PR_AUC	34	0.008658008658008658	HeLa_GFP
NeuertLab	Big-FISH	F_SCORE	25	0.30952380952380953	HeLa_GFP
NeuertLab	RS-FISH	F_SCORE	NA	NA	HeLa_GFP
NeuertLab	DeepBlink	F_SCORE	NA	NA	HeLa_GFP
Big-FISH	RS-FISH	F_SCORE	NA	NA	HeLa_GFP
Big-FISH	DeepBlink	F_SCORE	NA	NA	HeLa_GFP
RS-FISH	DeepBlink	F_SCORE	NA	NA	HeLa_GFP
NeuertLab	Big-FISH	MAX_RECALL	4	0.22067136191984676	Msb2
NeuertLab	RS-FISH	MAX_RECALL	4	0.22067136191984676	Msb2
NeuertLab	DeepBlink	MAX_RECALL	4	0.22067136191984676	Msb2
Big-FISH	RS-FISH	MAX_RECALL	3	0.6666666666666667	Msb2
Big-FISH	DeepBlink	MAX_RECALL	4	0.3333333333333333	Msb2
RS-FISH	DeepBlink	MAX_RECALL	4	0.3333333333333333	Msb2
NeuertLab	Big-FISH	PR_AUC	4	0.3333333333333333	Msb2
NeuertLab	RS-FISH	PR_AUC	4	0.3333333333333333	Msb2
NeuertLab	DeepBlink	PR_AUC	4	0.3333333333333333	Msb2
Big-FISH	RS-FISH	PR_AUC	0	0.3333333333333333	Msb2
Big-FISH	DeepBlink	PR_AUC	3	0.6666666666666667	Msb2
RS-FISH	DeepBlink	PR_AUC	4	0.3333333333333333	Msb2
NeuertLab	Big-FISH	F_SCORE	4	0.3333333333333333	Msb2
NeuertLab	RS-FISH	F_SCORE	NA	NA	Msb2
NeuertLab	DeepBlink	F_SCORE	NA	NA	Msb2
Big-FISH	RS-FISH	F_SCORE	NA	NA	Msb2
Big-FISH	DeepBlink	F_SCORE	NA	NA	Msb2
RS-FISH	DeepBlink	F_SCORE	NA	NA	Msb2
NeuertLab	Big-FISH	MAX_RECALL	3	0.6170750774519739	Opy2
NeuertLab	RS-FISH	MAX_RECALL	4	0.22067136191984676	Opy2
NeuertLab	DeepBlink	MAX_RECALL	4	0.22067136191984676	Opy2
Big-FISH	RS-FISH	MAX_RECALL	3	0.6666666666666667	Opy2
Big-FISH	DeepBlink	MAX_RECALL	4	0.3333333333333333	Opy2
RS-FISH	DeepBlink	MAX_RECALL	4	0.3333333333333333	Opy2
NeuertLab	Big-FISH	PR_AUC	4	0.3333333333333333	Opy2
NeuertLab	RS-FISH	PR_AUC	4	0.3333333333333333	Opy2
NeuertLab	DeepBlink	PR_AUC	4	0.3333333333333333	Opy2
Big-FISH	RS-FISH	PR_AUC	0	0.3333333333333333	Opy2
Big-FISH	DeepBlink	PR_AUC	2	1	Opy2
RS-FISH	DeepBlink	PR_AUC	4	0.3333333333333333	Opy2
NeuertLab	Big-FISH	F_SCORE	4	0.3333333333333333	Opy2
NeuertLab	RS-FISH	F_SCORE	NA	NA	Opy2
NeuertLab	DeepBlink	F_SCORE	NA	NA	Opy2
Big-FISH	RS-FISH	F_SCORE	NA	NA	Opy2
Big-FISH	DeepBlink	F_SCORE	NA	NA	Opy2
RS-FISH	DeepBlink	F_SCORE	NA	NA	Opy2
NeuertLab	Big-FISH	MAX_RECALL	12	0.34285714285714286	H3K36me3
