TOOL	GROUP	METRIC	PERC_25	PERC_50	PERC_75	MEAN	STDEV
NeuertLab	XistE_CY5	MAX_RECALL	0.9961725	1	1	0.9973535714285714	0.004056637928841369
Big-FISH	XistE_CY5	MAX_RECALL	0.8227135000000001	0.916667	1	0.900517	0.10933646521937074
RS-FISH	XistE_CY5	MAX_RECALL	0.9206755	0.945148	0.9776785	0.9469932857142858	0.0443386216734887
DeepBlink	XistE_CY5	MAX_RECALL	0.886331	0.896552	0.913408	0.9006895714285714	0.03425812529827602
NeuertLab	XistE_CY5	PR_AUC	0.8546695	0.863627	0.9154335	0.8860945714285714	0.04116435802510526
Big-FISH	XistE_CY5	PR_AUC	0.744092	0.779137	0.8401865	0.7938465714285714	0.08951320726361583
RS-FISH	XistE_CY5	PR_AUC	0.0656095	0.145721	0.2939765	0.19469385714285714	0.17193292307023744
DeepBlink	XistE_CY5	PR_AUC	0.7761089999999999	0.832335	0.861342	0.8123441428571428	0.08076894339911549
NeuertLab	XistE_CY5	F_SCORE	0.767387	0.822186	0.8797394999999999	0.8165931428571428	0.09888183919444556
Big-FISH	XistE_CY5	F_SCORE	0.560003	0.690763	0.725479	0.6365555714285714	0.138188900400692
RS-FISH	XistE_CY5	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	XistE_CY5	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	XistI_CY5	MAX_RECALL	0.978263	0.9922405	0.9981202499999999	0.9877643333333334	0.01350578561456781
Big-FISH	XistI_CY5	MAX_RECALL	0.8014355	0.8616465	0.8913497499999999	0.851096	0.05601557242767407
RS-FISH	XistI_CY5	MAX_RECALL	0.9295855000000001	0.9498949999999999	0.970362	0.947965	0.03914480914246485
DeepBlink	XistI_CY5	MAX_RECALL	0.90213625	0.915158	0.9518759999999999	0.9311606666666666	0.041376998884243246
NeuertLab	XistI_CY5	PR_AUC	0.7966344999999999	0.8619425000000001	0.88115325	0.826396	0.10327541555084638
Big-FISH	XistI_CY5	PR_AUC	0.696037	0.7469764999999999	0.7874595	0.7203756666666666	0.10953843564642811
RS-FISH	XistI_CY5	PR_AUC	0.16163450000000001	0.3904785	0.4186615	0.2928651666666667	0.18066573011549994
DeepBlink	XistI_CY5	PR_AUC	0.661629	0.70747	0.72968	0.6719026666666666	0.09262716290520112
NeuertLab	XistI_CY5	F_SCORE	0.6643100000000001	0.785445	0.8300875	0.7584828333333333	0.11946047361435774
Big-FISH	XistI_CY5	F_SCORE	0.37919875	0.6443785	0.6941395	0.5450703333333333	0.2336395426905871
RS-FISH	XistI_CY5	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	XistI_CY5	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	TsixE_TMR	MAX_RECALL	0.98244175	1	1	0.9907433333333333	0.014602960626758744
Big-FISH	TsixE_TMR	MAX_RECALL	0.9207317500000001	1	1	0.96463	0.05479560917080856
RS-FISH	TsixE_TMR	MAX_RECALL	0.9673915	1	1	0.9853908333333333	0.02263350308208314
DeepBlink	TsixE_TMR	MAX_RECALL	0.959866	1	1	0.9783638333333333	0.03428482148366338
NeuertLab	TsixE_TMR	PR_AUC	0.9330554999999999	0.9343980000000001	0.940923	0.9341718333333333	0.016979982195711125
Big-FISH	TsixE_TMR	PR_AUC	0.8531652500000001	0.8724845	0.90561725	0.8702431666666667	0.043781420641256785
RS-FISH	TsixE_TMR	PR_AUC	0.7776080000000001	0.801378	0.81558025	0.7795188333333334	0.06605807234673644
DeepBlink	TsixE_TMR	PR_AUC	0.7733695	0.785686	0.8434555	0.7982994999999999	0.0683629887344022
NeuertLab	TsixE_TMR	F_SCORE	0.6976884999999999	0.757188	0.800354	0.7594488333333334	0.08578102312846744
Big-FISH	TsixE_TMR	F_SCORE	0.801807	0.8247025	0.8358110000000001	0.8155451666666667	0.028536102560908116
RS-FISH	TsixE_TMR	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	TsixE_TMR	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	TsixI_TMR	MAX_RECALL	0.950877	0.957198	0.973684	0.959838	0.01949791267033475
Big-FISH	TsixI_TMR	MAX_RECALL	0.782456	0.805447	0.808271	0.7984006	0.020849419447552944
RS-FISH	TsixI_TMR	MAX_RECALL	0.93662	0.93985	0.941634	0.9301708	0.024945398748065763
DeepBlink	TsixI_TMR	MAX_RECALL	0.830882	0.832685	0.838596	0.836338	0.00992510012543952
NeuertLab	TsixI_TMR	PR_AUC	0.782024	0.819775	0.835611	0.807139	0.036866403031757804
Big-FISH	TsixI_TMR	PR_AUC	0.647433	0.657483	0.724469	0.674009	0.05013675992223671
RS-FISH	TsixI_TMR	PR_AUC	0.766676	0.768273	0.781434	0.7611908	0.05403505126026992
DeepBlink	TsixI_TMR	PR_AUC	0.226338	0.234612	0.238622	0.2332736	0.01639415721530082
NeuertLab	TsixI_TMR	F_SCORE	0.19925	0.208007	0.215139	0.199186	0.02631762867357164
Big-FISH	TsixI_TMR	F_SCORE	0.014878	0.660269	0.670757	0.4101498	0.3611613629732561
RS-FISH	TsixI_TMR	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	TsixI_TMR	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	CTT1_CY5_Smpl	MAX_RECALL	0.9964392499999999	0.998698	1	0.99774125	0.0030403273261278814
Big-FISH	CTT1_CY5_Smpl	MAX_RECALL	0.73484425	0.754004	0.7695375000000001	0.75037775	0.0378095553476014
RS-FISH	CTT1_CY5_Smpl	MAX_RECALL	0.984963	0.9883055000000001	0.9899849999999999	0.9866425	0.006169862262103874
DeepBlink	CTT1_CY5_Smpl	MAX_RECALL	0.8536892500000001	0.863386	0.8719115000000001	0.86221475	0.01774764961668634
NeuertLab	CTT1_CY5_Smpl	PR_AUC	0.899729	0.9174305	0.92883625	0.91113475	0.025214744672843077
Big-FISH	CTT1_CY5_Smpl	PR_AUC	0.69074525	0.7041885	0.7191782500000001	0.705735	0.01904611059157925
RS-FISH	CTT1_CY5_Smpl	PR_AUC	0.901527	0.9189229999999999	0.9334645	0.9160685	0.02584731998357534
DeepBlink	CTT1_CY5_Smpl	PR_AUC	0.66979975	0.7421225	0.783669	0.71134625	0.10431512503427616
NeuertLab	CTT1_CY5_Smpl	F_SCORE	0.865905	0.897259	0.9204635000000001	0.8891095	0.04637511362429928
Big-FISH	CTT1_CY5_Smpl	F_SCORE	0.6118985	0.7753265	0.779586	0.616158	0.32875620743138323
RS-FISH	CTT1_CY5_Smpl	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	CTT1_CY5_Smpl	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	STL1_TMR_Smpl	MAX_RECALL	0.999689	1	1	0.999689	6.220000000000114e-4
Big-FISH	STL1_TMR_Smpl	MAX_RECALL	0.7321707500000001	0.74525	0.7579825	0.74490325	0.03148897303686903
RS-FISH	STL1_TMR_Smpl	MAX_RECALL	0.9773395	0.9827425000000001	0.987504	0.982101	0.008399017839406398
DeepBlink	STL1_TMR_Smpl	MAX_RECALL	0.769636	0.8121545	0.8381712499999999	0.79565275	0.05683913557503021
NeuertLab	STL1_TMR_Smpl	PR_AUC	0.91796775	0.933917	0.94316475	0.9272155	0.039288070305543564
Big-FISH	STL1_TMR_Smpl	PR_AUC	0.6555932499999999	0.6818150000000001	0.71113825	0.6849164999999999	0.03914621458498044
RS-FISH	STL1_TMR_Smpl	PR_AUC	0.883124	0.9057815	0.923806	0.9011485	0.03311796427419214
DeepBlink	STL1_TMR_Smpl	PR_AUC	0.6150052500000001	0.680526	0.7226615	0.6571407499999999	0.09116540528575885
NeuertLab	STL1_TMR_Smpl	F_SCORE	0.8583912499999999	0.8821025	0.8945755000000001	0.87086425	0.0335551699779632
Big-FISH	STL1_TMR_Smpl	F_SCORE	0.5690877499999999	0.742739	0.77540425	0.601753	0.3370829882397904
RS-FISH	STL1_TMR_Smpl	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	STL1_TMR_Smpl	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	HeLa_CY5	MAX_RECALL	0.9792315	0.9852575	0.9948805000000001	0.9794766666666667	0.025157246841947277
Big-FISH	HeLa_CY5	MAX_RECALL	0.9559445000000001	0.956943	0.9759482500000001	0.9620843333333333	0.021080421709886783
RS-FISH	HeLa_CY5	MAX_RECALL	0.93492975	0.982451	0.98905225	0.9634225000000001	0.03692834198688047
DeepBlink	HeLa_CY5	MAX_RECALL	0.100775	0.138643	0.4375	0.30449919999999997	0.2916557300829181
NeuertLab	HeLa_CY5	PR_AUC	0.8435275	0.8698805000000001	0.9045375000000001	0.8781261666666667	0.05564867451940491
Big-FISH	HeLa_CY5	PR_AUC	0.70917125	0.8150265	0.89883925	0.7863525	0.16342204501565877
RS-FISH	HeLa_CY5	PR_AUC	0.71817625	0.7321139999999999	0.7512725	0.7270715	0.0438635564483775
DeepBlink	HeLa_CY5	PR_AUC	0.086957	0.116643	0.306378	0.2081332	0.16487026717301093
NeuertLab	HeLa_CY5	F_SCORE	0.25044175	0.709983	0.7534482499999999	0.5247660000000001	0.3534298602342479
Big-FISH	HeLa_CY5	F_SCORE	0.50704875	0.6397915000000001	0.668756	0.5330533333333334	0.22287806979213245
RS-FISH	HeLa_CY5	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	HeLa_CY5	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	HeLa_GFP	MAX_RECALL	0.93985825	0.948684	0.9715422499999999	0.9404305	0.05662441657359484
Big-FISH	HeLa_GFP	MAX_RECALL	0.89652375	0.9167274999999999	0.9230360000000001	0.8990653333333334	0.05394364343151718
RS-FISH	HeLa_GFP	MAX_RECALL	0.95646575	0.9895965	0.9988585	0.9630891666666667	0.05795167785807989
DeepBlink	HeLa_GFP	MAX_RECALL	0.01867425	0.062856	0.30781499999999995	0.2456155	0.3727466890255365
NeuertLab	HeLa_GFP	PR_AUC	0.74985425000000006	0.784347	0.8018935	0.786215	0.08419756362508361
Big-FISH	HeLa_GFP	PR_AUC	0.11499575000000001	0.3576325	0.620916	0.3920476666666667	0.30971262331178345
RS-FISH	HeLa_GFP	PR_AUC	0.39713825	0.574309	0.64634625	0.5572755	0.23764944627475992
DeepBlink	HeLa_GFP	PR_AUC	0.018483	0.0599355	0.20960325000000002	0.15868216666666668	0.21822196497549617
NeuertLab	HeLa_GFP	F_SCORE	0.21619275	0.3833765	0.5076925	0.3456723333333333	0.22046361996362723
Big-FISH	HeLa_GFP	F_SCORE	0.18132625000000002	0.228415	0.30640525	0.2466005	0.0829155990070626
RS-FISH	HeLa_GFP	F_SCORE	NA	NA	NA	NA	NA
DeepBlink	HeLa_GFP	F_SCORE	NA	NA	NA	NA	NA
NeuertLab	Msb2	MAX_RECALL	1	1	1	1	0
Big-FISH	Msb2	MAX_RECALL	0.97859575	0.9813935	0.9841912500000001	0.9813935	0.007913231988258619
RS-FISH	Msb2	MAX_RECALL	0.96844975	0.9731315	0.97781325	0.9731315	0.01324198869128051
DeepBlink	Msb2	MAX_RECALL	0.5876885000000001	0.632741	0.6777934999999999	0.632741	0.1274277130376277
