GROUP	N	SPEARMAN_EST	SPEARMAN_P	PEARSON_EST	PEARSON_CI95_LO	PEARSON_CI95_HI	PEARSON_P	LR_SLOPE	LR_YINTR	PERC_25_HB	PERC_50_HB	PERC_75_HB	MEAN_HB	STD_HB	WHISK_LO_HB	WHISK_HI_HB	PERC_25_BF	PERC_50_BF	PERC_75_BF	MEAN_BF	STD_BF	WHISK_LO_BF	WHISK_HI_BF	PERC_25_DB	PERC_50_DB	PERC_75_DB	MEAN_DB	STD_DB	WHISK_LO_DB	WHISK_HI_DB
1	mesc4_TsixE_AF594	24	0.947185712685066	2.40466557178482e-12	0.927889891502986	0.838260605514016	0.968696146377491	6.74966917366207e-11	1.2038210255395	-0.43921995644427	3.75	6	13.5	9.29166666666667	7.84900529098885	-10.875	28.125	4	6	11.75	8.08333333333333	6.04991316262988	-7.625	23.375	5	10	16.25	11.5833333333333	8.47459972976365	-11.875	33.125
2	mesc4_XistE_CY5	25	0.737154140200741	2.62960636661545e-05	0.999901327445929	0.999772426371272	0.999957218604264	4.08557562156763e-44	0.995892509742125	-0.205332782223533	0	0	0	8.2	40.7921561087423	0	0	0	0	0	8.44	40.956358887642	0	0	0	0	0	6.84	32.9579024413468	0	0
3	mesc0_XistE_CY5	151	0.772328257302642	3.63883267591948e-31	0.983466079680139	0.977251661427018	0.987993144794624	1.77381143364517e-112	0.944858896087716	-0.349691627211565	0	0	1	1.71523178807947	7.5871623887052	-1.5	2.5	0	0	1	2.18543046357616	7.8971758441525	-1.5	2.5	0	0	1	1.70860927152318	6.86011603786555	-1.5	2.5
4	mesc0_TsixE_TMR	151	0.89468047310599	5.19492946593203e-54	0.908279290722398	0.875577975591431	0.932694282632389	2.93384173536355e-58	0.96501602656379	0.771912247365691	2	4	6.5	5.25827814569536	5.09570221024076	-4.75	13.25	2	3	6	4.64900662251656	4.7961076933929	-4	12	2	3	6	4.70198675496689	4.63291801781808	-4	12
5	mescH_XistE_CY5	57	0.478442395416716	0.000166968702691911	0.552290917906219	0.340762036657483	0.710597143286708	8.42994644927973e-06	0.340865185594039	-0.00151786946322592	0	0	0	0.596491228070175	1.85991214388137	0	0	0	1	2	1.75438596491228	3.01354502771822	-3	5	0	0	1	0.701754385964912	1.82213485741218	-1.5	2.5
6	mescH_TsixE_TMR	57	0.772969280422484	1.85454856078818e-12	0.828997520784103	0.725047285993175	0.896016669183615	1.68366235697132e-15	0.946149392009265	0.898668210770118	3	4	6	4.66666666666667	2.65473521233645	-1.5	10.5	2	4	5	3.98245614035088	2.32602687054691	-2.5	9.5	3	4	6	4.57894736842105	2.86572957814194	-1.5	10.5
7	mesc1_XistE_CY5	94	0.839447343450105	4.23623698149401e-26	0.957464559488887	0.936533807530814	0.971593735762549	1.89577783054984e-51	0.874617764334715	-0.255156590540856	0	0	1	3.15957446808511	8.6463407531236	-1.5	2.5	0	0	2	3.90425531914894	9.4653518119169	-3	5	0	0	1	3.09574468085106	8.40771426232522	-1.5	2.5
8	mesc1_TsixE_TMR	94	0.832761304182107	2.35879179506885e-25	0.908913747336439	0.865730960469229	0.938664918443971	1.024180904658e-36	1.19479619361606	2.02118612318298	4	6	10.75	8.35106382978723	6.4968270945868	-6.125	20.875	2	4	8	5.29787234042553	4.94231191218151	-7	17	3	5	9	7.36170212765957	6.07099762192111	-6	18
9	mescHistD0_XistI_CY5	451	0.333840904765416	3.340236667584e-13	0.291984735370498	0.205180713061505	0.374231050306102	2.58394790947885e-10	0.065206799047878	0.0471588095276123	0	0	0	0.152993348115299	0.554663980322109	0	0	0	1	2	1.62305986696231	2.48368909191486	-3	5	0	0	0	0.28159645232816	0.732176740281749	0	0
10	mescHistD0_TsixI_TMR	451	0.489067923594701	1.6983741220021e-28	0.113839609194662	0.0217322186748265	0.204030773091016	0.0155742381416833	0.00240962361848204	2.98655790757009	2	3	4	3.0820399113082	1.87140144946781	-1	7	2	4	7	39.6252771618625	88.4119860129629	-5.5	14.5	10	17	26.5	20.1773835920177	15.2030559291098	-14.75	51.25
11	mescHistD0_H3K36me3_AF488	315	0.409697898402793	3.51665957281797e-14	0.450200382781477	0.357477185637526	0.534134739647354	3.98683548856663e-17	0.157326467553676	26.4952153043137	35	105	179.5	124.32380952381	105.760710731755	-181.75	396.25	460	615	807	621.819047619048	302.641463925531	-60.5	1327.5	6	11	17.5	12.5746031746032	8.67550120165918	-11.25	34.75
12	mescHistD2_XistI_CY5	411	0.946340887336459	9.4842177979084e-203	0.917079649080339	0.90020627496109	0.931203322807041	1.99213997150932e-165	1.04189379454198	0.138652007648189	0	1	4	2.62043795620438	4.19837027648328	-6	10	0	1	3	2.38199513381995	3.69542458169567	-4.5	7.5	0	1	4	3.11922141119221	4.57862428770157	-6	10
13	mescHistD2_TsixI_TMR	411	0.284888738976695	4.09548331352596e-09	0.105934786578556	0.0093008050460239	0.200608439477783	0.0317825921771617	0.00122433688358364	2.30057128524602	1	2	3	2.46958637469586	1.79319161551694	-2	6	2.5	7	283.5	138.046228710462	155.154495164945	-419	705	8	14	25	18.5085158150852	16.106711235265	-17.5	50.5
14	mescHistD2_H3K36me3_AF488	252	0.773653219584655	1.85447138771523e-51	0.789708474080458	0.738171187225969	0.832081390505578	5.68255125534317e-55	0.303712936884418	-101.316013254009	101.75	168.5	284.25	206.900793650794	154.000291299994	-172	558	733.25	992.5	1269.5	1014.82936507937	400.428563557525	-71.125	2073.875	6.75	17	27	19.234126984127	15.5854138709765	-23.625	57.375
15	hela_18min_GFP	106	0.354104836938815	0.000196153307182604	0.144099643852451	-0.0479744804580997	0.325896872083586	0.140559989340015	0.0888726103727548	128.986159046221	55.5	142	227.25	157.575471698113	117.973439150571	-202.125	484.875	223.25	283	368.75	321.688679245283	191.284249380591	5	587	0	1.5	4	3.56603773584906	8.62114661242042	-6	10
16	hela_18min_CY5	106	0.716528274656659	5.83044057666476e-18	0.837361617157317	0.769523099673152	0.886513164194632	4.89166652743772e-29	0.745008150956099	12.5180528289184	1	78.5	148.75	87.0188679245283	87.7751435834038	-220.625	370.375	4.25	97	171	100	98.6560161561854	-245.875	421.125	0	0	1	1.00943396226415	2.06787345573437	-1.5	2.5
17	hela_5hr_GFP	56	0.343301982818234	0.00958811674929571	0.316217076378358	0.058150835297005	0.534668657577918	0.0175843283572449	0.0643923552983022	48.0503178718548	15.75	76	134.5	83.5178571428571	74.6178119294774	-162.375	312.625	375.5	556	698.25	550.803571428571	366.432105562563	-108.625	1182.375	0	0	0	0.160714285714286	0.370590963648147	0	0
18	hela_5hr_CY5	56	0.0855398747007066	0.530767531337902	-0.208180398291088	-0.446636201205315	0.0578884085340519	0.123641867036386	-0.00450811669991228	21.928452573374	4	10	23.25	19.7678571428571	22.7180273402812	-24.875	52.125	11.75	40	81	479.267857142857	1049.09617361494	-92.125	184.875	0	0	0	0.0535714285714286	0.227207782928703	0	0
19	hela_nostim_GFP	143	0.177239668630825	0.0342028342943341	0.0810550856250091	-0.0842139597507509	0.241984041614225	0.335871082331475	0.0634920863806258	137.101672336748	47.5	155	222	147.545454545455	103.985422005956	-214.25	483.75	13	207	271.5	164.48951048951	132.749571874478	-374.75	659.25	1	4	8	5.61538461538461	6.13340320590784	-9.5	18.5
20	hela_nostim_CY5	143	0.795832567149104	1.59876906802336e-32	0.754824664849738	0.674213421879525	0.817662126841866	1.32751949707163e-27	0.709174633024665	47.1969167937432	1	130	177	112.083916083916	87.627693264229	-263	441	4.5	38	175.5	91.4965034965035	93.2683448047511	-252	432	0	2	6	3.7972027972028	4.26508827998301	-9	15
21	mescHistD0_H3K4me2_AF488	136	0.844898738124256	3.1687560800397e-38	0.832972205029891	0.773031128825262	0.878170933984216	2.97741199190174e-36	0.811552093442698	-251.599529097531	233	405.5	565.5	424.125	237.946101506669	-265.75	1064.25	671.5	829.5	965.25	832.632352941176	244.226452561386	230.875	1405.875	13	28	43	30.25	20.6687274958159	-32	88
22	mescHistD2_H3K4me2_AF488	159	0.727400561735139	1.83311990466844e-27	0.708208622172398	0.621016492981994	0.778086783941734	1.63347591156201e-25	0.583738556458081	-137.973296749242	206	317	448	347.528301886792	207.702617601441	-157	811	644.5	813	984	831.710691823899	251.990866468798	135.25	1493.25	20.5	37	59	44.0880503144654	34.3207845001584	-37.25	116.75
23	sctc_E1R1C1_0min	1619	0.907322559672498	0	0.92445667194216	0.917040134202563	0.931233961424425	0	1.16270305029374	-0.113540431615149	0	0	1	0.58307597282273	2.44463746540067	-1.5	2.5	0	0	1	0.599135268684373	1.94371332800611	-1.5	2.5	0	0	1	0.825200741198271	2.3599893949395	-1.5	2.5
24	sctc_E1R1C2_0min	1619	0.275126039234505	1.64700057318565e-29	-0.000287751108207381	-0.0490043940165577	0.0484302576844619	0.990769286915738	-1.40781710144439e-05	0.695789294124535	0	0	1	0.695491043854231	1.88036452765754	-1.5	2.5	0	1	37.5	21.1852995676343	38.4337550745224	-56.25	93.75	0	0	0	0.360716491661519	0.977921147446984	0	0
25	sctc_E1R1C1_10min	539	0.988748103411182	0	0.982467373348079	0.979266254181605	0.985177967233678	0	1.30906086027901	-0.819138154940876	2.5	15	32	20.708719851577	20.9994365748766	-41.75	76.25	2	13	25.5	16.4452690166976	15.7603530282857	-33.25	60.75	2.5	14	27.5	17.721706864564	17.0786642712297	-35	65
26	sctc_E1R1C2_10min	539	0.980183810618482	0	0.974735359715707	0.970143784755415	0.978628458227701	0	1.51980796917042	-0.634375457566736	1	19	39	23.9109461966605	24.679948569045	-56	96	1	13	26	16.1502782931354	15.8285908708219	-36.5	63.5	1	15	29	18.0593692022263	18.0210585296958	-41	71
27	sctc_E1R1C1_15min	556	0.961470959769173	7.16967586460948e-313	0.951293371245124	0.942711512235184	0.95861704598916	2.7091933973578e-285	1.10292154853571	1.06041703351854	6	15	29	19.2625899280576	17.1546049747217	-28.5	63.5	6	13	24	16.5035971223022	14.7962128588813	-21	51	5.75	13.5	23	15.7338129496403	13.4568114181379	-20.125	48.875
28	sctc_E1R1C2_15min	556	0.968488263511816	0	0.959635631729767	0.952487846579762	0.965726971209878	2.19721110180831e-307	1.38286347429068	-0.791216567878372	5	15	28	18.0017985611511	15.5810579271344	-29.5	62.5	5	12	19.25	13.589928057554	10.8124472479782	-16.375	40.625	4	12	20	13.2571942446043	11.007795863442	-20	44
29	sctc_E1R1C1_1min	702	0.895143040429477	8.14572429824117e-248	0.870369842301309	0.851193731158933	0.887225341857579	1.44901729699612e-217	0.837930917701975	0.0234355665201755	0	0	1	0.468660968660969	0.850283615778775	-1.5	2.5	0	0	1	0.531339031339031	0.88320075192639	-1.5	2.5	0	1	1	0.871794871794872	1.17052577190085	-1.5	2.5
30	sctc_E1R1C2_1min	702	0.35949951392135	7.65502844533953e-23	0.147662952469831	0.0744796224314432	0.219264273267645	8.60313217002507e-05	0.00394343894524684	0.228161706369373	0	0	0	0.269230769230769	0.662975810472441	0	0	0	1	3	10.4145299145299	24.8252773656952	-4.5	7.5	0	0	0	0.135327635327635	0.430876548517773	0	0
31	sctc_E1R1C1_20min	1251	0.979476063327847	0	0.968113553302609	0.964438167245072	0.971414608395099	0	1.23885409866513	-0.882166575397785	5	17	33	22.3213429256595	21.0227081061196	-37	75	5	15	28	18.7298161470823	16.4283822175579	-29.5	62.5	5	14	26	17.6354916067146	15.6599306300548	-26.5	57.5
