ImageName,Ch_Total,Ch_Light,Ch_DAPI,Channel,Group,x0,x1,y0,y1,z0,z1,TifPath,CellSegPath,ResultsPath,w,h,AltResultsPath,Pix_nm
mESC_loday_D1I15_Xist,4,4,1,2,XistE,246,500,538,792,22,60,/img/mESC_tc/mESC_loday_D1I15.tif,/data/cell_seg/mESC_loday/*mESC_loday_D1I15,/data/results/mescE/mESC_loday_D1I15_Xist_summary.mat,254,254,<N/A>,65
histonesc_D2I3D_H3K4me2_Xist,5,5,1,2,XistI,1147,1639,787,1279,17,72,/img/histones_febc/D2I3D_H3K4me2.tif,/data/cell_seg/histones_febc/*D2I3D_H3K4me2,/data/results/mescI/histonesc_D2I3D_H3K4me2_Xist_summary.mat,492,492,<N/A>,65
mESC_loday_DHI07_Tsix,4,4,1,3,TsixE,1472,1996,82,606,17,75,/img/mESC_tc/mESC_loday_DHI07.tif,/data/cell_seg/mESC_loday/*mESC_loday_DHI07,/data/results/mescE/mESC_loday_DHI07_Tsix_summary.mat,524,524,<N/A>,65
histonesc_D0I3A_H3K36me3_Tsix,5,5,1,3,TsixI,483,1189,968,1674,20,60,/img/histones_febc/D0I3A_H3K36me3.tif,/data/cell_seg/histones_febc/*D0I3A_H3K36me3,/data/results/mescI/histonesc_D0I3A_H3K36me3_Tsix_summary.mat,706,706,<N/A>,65
scrna_E2R2I3_STL1,4,4,3,1,CTT1,410,606,1146,1342,10,16,/img/yeast/Exp2_rep2_10min_im3.tif,/data/cell_seg/yeast/*Exp2_rep2_10min_im3,/data/results/scrna/scrna_E2R2I3_STL1_summary.mat,196,196,/data/results/sctc/E2R2/sctc_E2R2_10m_I3_STL1_summary.mat,65
scrna_E2R2I3_CTT1,4,4,3,2,STL1,810,1064,878,1132,10,16,/img/yeast/Exp2_rep2_10min_im3.tif,/data/cell_seg/yeast/*Exp2_rep2_10min_im3,/data/results/scrna/scrna_E2R2I3_CTT1_summary.mat,254,254,/data/results/sctc/E2R2/sctc_E2R2_10m_I3_CTT1_summary.mat,65
ROI012_XY1657814119_Z00_T0_CY5,4,0,1,4,HeLa CY5,242,348,234,340,9,24,/img/munsky_lab/MS2-CY5_Cyto543_560_woStim/ROI012_XY1657814119_Z00_T0.tif,<N/A>,/data/results/hela/ROI012_XY1657814119_Z00_T0_CY5_summary.mat,106,106,<N/A>,160
ROI001_P07_XY1657818954_Z00_T0_GFP,4,0,1,2,HeLa GFP,114,256,191,333,10,21,/img/munsky_lab/MS2-CY5_Cyto543_560_18minTPL_5uM/ROI001_P07_XY1657818954_Z00_T0.tif,/data/cell_seg/munsky_lab/*ROI001_P07_XY1657818954_Z00_T0,/data/results/hela/ROI001_P07_XY1657818954_Z00_T0_GFP_summary.mat,142,142,<N/A>,160
scprotein_Msb2_4M1m,2,2,0,1,Msb2,74,234,477,637,5,9,/img/msb2/20180306_Msb2-GFP_04M_NaCl_1min_3_MMStack.ome.tif,<N/A>,/data/results/scProtein/scprotein_Msb2_4M1m_summary.mat,160,160,<N/A>,65
scprotein_Opy2_4M5m,2,2,0,1,Opy2,34,164,372,502,4,10,/img/opy2/20180306_Opy2-GFP_04M_NaCl_5min_3_MMStack.ome.tif,<N/A>,/data/results/scProtein/scprotein_Opy2_4M5m_summary.mat,130,130,<N/A>,65
histonesc_D2I1A_H3K36me3_Histone,5,5,1,4,H3K36me3,998,1242,1140,1384,20,40,/img/histones_febc/D2I1A_H3K36me3.tif,/data/cell_seg/histones_febc/*D2I1A_H3K36me3,/data/results/mescI/histonesc_D2I1A_H3K36me3_Histone_summary.mat,244,244,<N/A>,65
histonesc_D2I2D_H3K4me2_Histone,5,5,1,4,H3K4me2,888,1146,770,1028,19,40,/img/histones_febc/D2I2D_H3K4me2.tif,/data/cell_seg/histones_febc/*D2I2D_H3K4me2,/data/results/mescI/histonesc_D2I2D_H3K4me2_Histone_summary.mat,258,258,<N/A>,65
mESC4d_Tsix-AF594,5,5,1,3,Tsix-AF594,1052,1472,479,899,20,60,/img/mESC_4d/20180202_4d_mESC_Tsix-AF594_img_1_MMStack.ome.tif,/data/cell_seg/mESC_4d/*20180202_4d_mESC_Tsix-AF594_img_1,/data/results/mescE/mESC4d_Tsix-AF594_summary.mat,420,420,<N/A>,65
rsfish_celegans,1,0,0,1,C. elegans,168,346,215,393,19,48,/img/preibisch_lab/N2_352-1.tif,<N/A>,/data/results/misc/rsfish_celegans_summary.mat,178,178,<N/A>,130
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
