IMGNAME	SIM_OR_EXP	TOTAL_VOXELS	MIN_TH_VAL	MIN_TH_SPOTS	TOTAL_VOX_LOG	MINTH_SPOTS_LOG	PROP
mESC4d_Tsix-AF594	Exp	260640828	10	486139	8.416042	5.686760	0.001865
mESC4d_Xist-CY5	Exp	260640828	10	127620	8.416042	5.105919	0.000490
scrna_E1R2I4_STL1	Exp	95154588	10	142065	7.978430	5.152487	0.001493
scrna_E1R2I4_CTT1	Exp	95154588	10	852325	7.978430	5.930605	0.008957
scrna_E2R1I2_STL1	Exp	95154588	10	126789	7.978430	5.103082	0.001332
scrna_E2R1I2_CTT1	Exp	95154588	10	263090	7.978430	5.420104	0.002765
scrna_E2R2I3_STL1	Exp	95154588	10	72357	7.978430	4.859481	0.000760
scrna_E2R2I3_CTT1	Exp	95154588	10	1401528	7.978430	6.146602	0.014729
scrna_E2R2I5_STL1	Exp	95154588	10	74171	7.978430	4.870234	0.000779
scrna_E2R2I5_CTT1	Exp	95154588	10	1470688	7.978430	6.167521	0.015456
mESC_loday_D0I18_Xist	Exp	335109636	1	5761848	8.525187	6.760562	0.017194
mESC_loday_D0I18_Tsix	Exp	335109636	1	4520100	8.525187	6.655148	0.013488
mESC_loday_D0I04_Xist	Exp	335109636	1	6281364	8.525187	6.798054	0.018744
mESC_loday_D0I04_Tsix	Exp	335439225	1	4640027	8.525614	6.666521	0.013833
mESC_loday_D0I29_Xist	Exp	335439225	1	5508631	8.525614	6.741044	0.016422
mESC_loday_D0I29_Tsix	Exp	335439225	1	4742420	8.525614	6.676000	0.014138
mESC_loday_D0I40_Xist	Exp	335439225	1	6160588	8.525614	6.789622	0.018366
mESC_loday_D0I40_Tsix	Exp	335439225	1	4652249	8.525614	6.667663	0.013869
mESC_loday_DHI07_Xist	Exp	335109636	1	6182488	8.525187	6.791163	0.018449
mESC_loday_DHI07_Tsix	Exp	335439225	1	4567203	8.525614	6.659650	0.013616
mESC_loday_DHI32_Xist	Exp	335109636	1	6430114	8.525187	6.808219	0.019188
mESC_loday_DHI32_Tsix	Exp	335439225	1	4797725	8.525614	6.681035	0.014303
mESC_loday_D1I02_Xist	Exp	335109636	1	6667610	8.525187	6.823970	0.019897
mESC_loday_D1I02_Tsix	Exp	335109636	1	4686714	8.525187	6.670868	0.013986
mESC_loday_D1I15_Xist	Exp	335109636	1	5730379	8.525187	6.758183	0.017100
mESC_loday_D1I15_Tsix	Exp	335439225	1	4501372	8.525614	6.653345	0.013419
