IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E1R1_0m_I1_STL1	1	1	0	1	1	73	488	190	417
sctc_E1R1_0m_I1_CTT1	1	1	0	1	2	127	301	339	508
sctc_E1R1_0m_I2_STL1	1	1	0	2	1	83	196	175	231
sctc_E1R1_0m_I2_CTT1	1	1	0	2	2	118	521	296	874
sctc_E1R1_0m_I3_STL1	1	1	0	3	1	73	376	171	365
sctc_E1R1_0m_I3_CTT1	1	1	0	3	2	134	581	394	664
sctc_E1R1_0m_I4_STL1	1	1	0	4	1	69	284	169	310
sctc_E1R1_0m_I4_CTT1	1	1	0	4	2	142	384	46	82815
sctc_E1R1_10m_I1_STL1	1	1	10	1	1	85	4148	169	3166
sctc_E1R1_10m_I1_CTT1	1	1	10	1	2	150	4617	141	2979
sctc_E1R1_10m_I2_STL1	1	1	10	2	1	81	3086	161	2489
sctc_E1R1_10m_I2_CTT1	1	1	10	2	2	121	3380	147	2166
sctc_E1R1_10m_I3_STL1	1	1	10	3	1	80	3550	163	2948
sctc_E1R1_10m_I3_CTT1	1	1	10	3	2	128	3962	150	2773
sctc_E1R1_10m_I4_STL1	1	1	10	4	1	78	4031	163	3372
sctc_E1R1_10m_I4_CTT1	1	1	10	4	2	137	5232	179	3296
sctc_E1R1_15m_I1_STL1	1	1	15	1	1	85	4514	254	4205
sctc_E1R1_15m_I1_CTT1	1	1	15	1	2	159	5179	169	4122
sctc_E1R1_15m_I2_STL1	1	1	15	2	1	83	7420	215	7639
sctc_E1R1_15m_I2_CTT1	1	1	15	2	2	153	6182	176	5405
sctc_E1R1_15m_I3_STL1	1	1	15	3	1	96	6620	217	5305
sctc_E1R1_15m_I3_CTT1	1	1	15	3	2	136	6146	142	4372
sctc_E1R1_15m_I4_STL1	1	1	15	4	1	88	7167	224	5429
sctc_E1R1_15m_I4_CTT1	1	1	15	4	2	145	7039	181	5185
sctc_E1R1_1m_I1_STL1	1	1	1	1	1	71	165	176	216
sctc_E1R1_1m_I1_CTT1	1	1	1	1	2	125	160	299	595
sctc_E1R1_1m_I2_STL1	1	1	1	2	1	71	96	204	106
sctc_E1R1_1m_I2_CTT1	1	1	1	2	2	114	183	100	38888
sctc_E1R1_1m_I3_STL1	1	1	1	3	1	79	331	151	400
sctc_E1R1_1m_I3_CTT1	1	1	1	3	2	146	144	357	383
sctc_E1R1_1m_I4_STL1	1	1	1	4	1	71	119	191	141
sctc_E1R1_1m_I4_CTT1	1	1	1	4	2	124	135	271	944
sctc_E1R1_20m_I1_STL1	1	1	20	1	1	105	11007	223	9656
sctc_E1R1_20m_I1_CTT1	1	1	20	1	2	163	4329	303	3817
sctc_E1R1_20m_I2_STL1	1	1	20	2	1	82	10362	260	7990
sctc_E1R1_20m_I2_CTT1	1	1	20	2	2	154	4308	393	3898
sctc_E1R1_20m_I3_STL1	1	1	20	3	1	96	8846	213	8070
sctc_E1R1_20m_I3_CTT1	1	1	20	3	2	152	3440	385	3176
sctc_E1R1_20m_I4_STL1	1	1	20	4	1	85	9475	267	8461
sctc_E1R1_20m_I4_CTT1	1	1	20	4	2	145	4760	287	4126
sctc_E1R1_25m_I1_STL1	1	1	25	1	1	72	3986	249	3679
sctc_E1R1_25m_I1_CTT1	1	1	25	1	2	135	623	172	29287
sctc_E1R1_25m_I2_STL1	1	1	25	2	1	71	3253	210	3421
sctc_E1R1_25m_I2_CTT1	1	1	25	2	2	130	523	163	31221
sctc_E1R1_25m_I3_STL1	1	1	25	3	1	66	2927	198	2810
sctc_E1R1_25m_I3_CTT1	1	1	25	3	2	123	490	551	463
sctc_E1R1_25m_I4_STL1	1	1	25	4	1	69	3172	210	2926
sctc_E1R1_25m_I4_CTT1	1	1	25	4	2	128	503	659	430
sctc_E1R1_2m_I1_STL1	1	1	2	1	1	64	82	161	96
sctc_E1R1_2m_I1_CTT1	1	1	2	1	2	100	190	261	507
sctc_E1R1_2m_I2_STL1	1	1	2	2	1	66	80	164	100
sctc_E1R1_2m_I2_CTT1	1	1	2	2	2	104	151	204	388
sctc_E1R1_2m_I3_STL1	1	1	2	3	1	68	166	155	186
sctc_E1R1_2m_I3_CTT1	1	1	2	3	2	111	102	43	84286
sctc_E1R1_2m_I4_STL1	1	1	2	4	1	74	210	169	239
sctc_E1R1_2m_I4_CTT1	1	1	2	4	2	110	253	72	55399
sctc_E1R1_30m_I1_STL1	1	1	30	1	1	72	5861	204	5846
sctc_E1R1_30m_I1_CTT1	1	1	30	1	2	153	286	94	55240
sctc_E1R1_30m_I2_STL1	1	1	30	2	1	74	6528	194	6443
sctc_E1R1_30m_I2_CTT1	1	1	30	2	2	156	319	495	394
sctc_E1R1_30m_I3_STL1	1	1	30	3	1	79	5701	180	6380
sctc_E1R1_30m_I3_CTT1	1	1	30	3	2	169	229	480	286
sctc_E1R1_30m_I4_STL1	1	1	30	4	1	82	7154	143	8025
sctc_E1R1_30m_I4_CTT1	1	1	30	4	2	168	254	441	348
sctc_E1R1_35m_I1_STL1	1	1	35	1	1	69	968	187	984
sctc_E1R1_35m_I1_CTT1	1	1	35	1	2	114	137	101	38383
sctc_E1R1_35m_I2_STL1	1	1	35	2	1	68	1139	151	1261
sctc_E1R1_35m_I2_CTT1	1	1	35	2	2	109	160	64	61196
sctc_E1R1_35m_I3_STL1	1	1	35	3	1	64	1260	139	1430
sctc_E1R1_35m_I3_CTT1	1	1	35	3	2	115	140	96	40161
sctc_E1R1_35m_I4_STL1	1	1	35	4	1	60	1101	142	1148
sctc_E1R1_35m_I4_CTT1	1	1	35	4	2	112	203	451	312
sctc_E1R1_40m_I1_STL1	1	1	40	1	1	73	1339	179	1344
sctc_E1R1_40m_I1_CTT1	1	1	40	1	2	114	149	82	52646
sctc_E1R1_40m_I2_STL1	1	1	40	2	1	70	993	166	919
sctc_E1R1_40m_I2_CTT1	1	1	40	2	2	124	176	98	39815
sctc_E1R1_40m_I3_STL1	1	1	40	3	1	69	2522	177	2439
sctc_E1R1_40m_I3_CTT1	1	1	40	3	2	137	144	345	2116
sctc_E1R1_40m_I4_STL1	1	1	40	4	1	69	3146	188	3122
sctc_E1R1_40m_I4_CTT1	1	1	40	4	2	138	200	517	254
sctc_E1R1_45m_I1_STL1	1	1	45	1	1	75	2083	172	2027
sctc_E1R1_45m_I1_CTT1	1	1	45	1	2	139	130	69	65936
sctc_E1R1_45m_I2_STL1	1	1	45	2	1	79	3728	165	3732
sctc_E1R1_45m_I2_CTT1	1	1	45	2	2	155	157	216	15246
sctc_E1R1_45m_I3_STL1	1	1	45	3	1	69	2523	188	2491
sctc_E1R1_45m_I3_CTT1	1	1	45	3	2	143	124	130	19656
sctc_E1R1_45m_I4_STL1	1	1	45	4	1	68	3437	194	3028
sctc_E1R1_45m_I4_CTT1	1	1	45	4	2	132	168	88	58331
sctc_E1R1_4m_I1_STL1	1	1	4	1	1	80	461	174	527
sctc_E1R1_4m_I1_CTT1	1	1	4	1	2	128	235	66	79000
sctc_E1R1_4m_I2_STL1	1	1	4	2	1	73	145	194	238
sctc_E1R1_4m_I2_CTT1	1	1	4	2	2	119	269	306	855
sctc_E1R1_4m_I3_STL1	1	1	4	3	1	73	615	210	628
sctc_E1R1_4m_I3_CTT1	1	1	4	3	2	133	215	125	25696
sctc_E1R1_4m_I4_STL1	1	1	4	4	1	75	145	182	212
sctc_E1R1_4m_I4_CTT1	1	1	4	4	2	124	170	232	1767
sctc_E1R1_50m_I1_STL1	1	1	50	1	1	64	1164	161	1017
sctc_E1R1_50m_I1_CTT1	1	1	50	1	2	122	124	113	39375
sctc_E1R1_50m_I2_STL1	1	1	50	2	1	69	1672	178	1632
sctc_E1R1_50m_I2_CTT1	1	1	50	2	2	126	152	129	38302
sctc_E1R1_50m_I3_STL1	1	1	50	3	1	69	1235	161	1253
sctc_E1R1_50m_I3_CTT1	1	1	50	3	2	127	133	94	45099
sctc_E1R1_55m_I1_STL1	1	1	55	1	1	87	2817	214	2625
sctc_E1R1_55m_I1_CTT1	1	1	55	1	2	142	151	67	74423
sctc_E1R1_55m_I2_STL1	1	1	55	2	1	91	4581	245	4418
sctc_E1R1_55m_I2_CTT1	1	1	55	2	2	152	188	71	67571
sctc_E1R1_55m_I3_STL1	1	1	55	3	1	80	4018	147	3608
sctc_E1R1_55m_I3_CTT1	1	1	55	3	2	142	283	302	8843
sctc_E1R1_55m_I4_STL1	1	1	55	4	1	89	3274	234	3037
sctc_E1R1_55m_I4_CTT1	1	1	55	4	2	147	185	126	48014
sctc_E1R1_6m_I1_STL1	1	1	6	1	1	50	568	115	539
sctc_E1R1_6m_I1_CTT1	1	1	6	1	2	120	681	167	437
sctc_E1R1_6m_I2_STL1	1	1	6	2	1	50	57	88	154
sctc_E1R1_6m_I2_CTT1	1	1	6	2	2	100	816	263	369
sctc_E1R1_6m_I3_STL1	1	1	6	3	1	74	1600	111	1316
sctc_E1R1_6m_I3_CTT1	1	1	6	3	2	141	848	146	502
sctc_E1R1_6m_I4_STL1	1	1	6	4	1	76	2120	173	1813
sctc_E1R1_6m_I4_CTT1	1	1	6	4	2	139	1604	163	1010
sctc_E1R1_8m_I1_STL1	1	1	8	1	1	80	8619	250	6657
sctc_E1R1_8m_I1_CTT1	1	1	8	1	2	149	8026	582	566
sctc_E1R1_8m_I2_STL1	1	1	8	2	1	87	7275	140	5469
sctc_E1R1_8m_I2_CTT1	1	1	8	2	2	147	5924	144	3995
sctc_E1R1_8m_I3_STL1	1	1	8	3	1	80	8866	168	6953
sctc_E1R1_8m_I3_CTT1	1	1	8	3	2	155	7676	168	5224
