IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_CY5L_0187fc2d	1	1885	265	143	943	1751	1306	1735
simvarmass_CY5L_03be411c	1	995	229	238	585	965	674	1226
simvarmass_CY5L_041707a3	1	620	33	229	564	598	418	832
simvarmass_CY5L_04cdf185	1	1968	97	180	1736	1840	1503	1831
simvarmass_CY5L_06ba1502	1	1120	36	265	1032	1074	758	1673
simvarmass_CY5L_07960359	1	2521	189	155	1725	2271	1736	2254
simvarmass_CY5L_07ecb936	1	2038	450	118	291	1851	1218	1831
simvarmass_CY5L_088d2413	1	986	75	276	908	969	812	2156
simvarmass_CY5L_08a8e0d5	1	1434	141	215	1019	1340	874	1412
simvarmass_CY5L_08c1fcc9	1	736	28	297	681	716	592	2470
simvarmass_CY5L_08f3289c	1	1631	31	247	1482	1567	1287	2303
simvarmass_CY5L_093ec882	1	1384	213	146	879	1284	972	1272
simvarmass_CY5L_0a302ca1	1	41	23	119	22	25	16	25
simvarmass_CY5L_0ad43798	1	1349	202	192	968	1267	1004	1278
simvarmass_CY5L_0b18a890	1	1119	35	237	1015	1072	913	1384
simvarmass_CY5L_0d37d952	1	1261	336	202	539	1201	989	1247
simvarmass_CY5L_10670cf2	1	1113	373	98	323	1052	802	1043
simvarmass_CY5L_107b9d3d	1	1058	145	133	842	1011	750	1006
simvarmass_CY5L_10eeafd5	1	1466	53	253	1335	1391	1162	1972
simvarmass_CY5L_10f3bb0a	1	1030	44	297	951	1016	684	2957
simvarmass_CY5L_11169287	1	738	34	209	678	728	444	782
simvarmass_CY5L_1134940f	1	1885	227	128	1246	1750	1427	1743
simvarmass_CY5L_12ac335e	1	1250	336	214	362	1179	739	1244
simvarmass_CY5L_13e08ce8	1	1868	350	146	540	1684	1133	1672
simvarmass_CY5L_14bcf616	1	642	38	196	590	616	417	625
simvarmass_CY5L_14dede87	1	193	24	204	167	171	121	178
simvarmass_CY5L_150a2128	1	1617	40	312	1455	1509	1092	3719
simvarmass_CY5L_1562ae4c	1	1874	429	98	344	1719	1168	1710
simvarmass_CY5L_167c7182	1	327	24	306	308	332	210	2414
simvarmass_CY5L_16a81823	1	670	31	149	611	637	561	629
simvarmass_CY5L_190a4024	1	1316	43	176	1208	1255	1043	1246
simvarmass_CY5L_1a06e206	1	1127	399	92	237	1052	757	1049
