IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_CY5L_0187fc2d	1885	1776	265	943	1306	143	1644	1633
simvarmass_CY5L_03be411c	995	940	229	585	674	238	904	1135
simvarmass_CY5L_041707a3	620	577	33	564	418	229	555	759
simvarmass_CY5L_04cdf185	1968	1854	97	1736	1503	180	1723	1718
simvarmass_CY5L_06ba1502	1120	1059	36	1032	758	265	1014	1547
simvarmass_CY5L_07960359	2521	2381	189	1725	1736	155	2144	2130
simvarmass_CY5L_07ecb936	2038	1926	450	291	1218	118	1749	1732
simvarmass_CY5L_088d2413	986	928	75	908	812	276	909	1974
simvarmass_CY5L_08a8e0d5	1434	1349	141	1019	874	215	1256	1315
simvarmass_CY5L_08c1fcc9	736	692	28	681	592	297	670	2285
simvarmass_CY5L_08f3289c	1631	1533	31	1482	1287	247	1464	2115
simvarmass_CY5L_093ec882	1384	1302	213	879	972	146	1209	1201
simvarmass_CY5L_0a302ca1	41	38	23	22	16	119	22	22
simvarmass_CY5L_0ad43798	1349	1287	202	968	1004	192	1203	1212
simvarmass_CY5L_0b18a890	1119	1056	35	1015	913	237	1002	1280
simvarmass_CY5L_0d37d952	1261	1200	336	539	989	202	1137	1174
simvarmass_CY5L_10670cf2	1113	1058	373	323	802	98	992	990
simvarmass_CY5L_107b9d3d	1058	991	145	842	750	133	944	940
simvarmass_CY5L_10eeafd5	1466	1395	53	1335	1162	253	1320	1847
simvarmass_CY5L_10f3bb0a	1030	972	44	951	684	297	953	2719
simvarmass_CY5L_11169287	738	682	34	678	444	209	675	717
simvarmass_CY5L_1134940f	1885	1766	227	1246	1427	128	1642	1636
simvarmass_CY5L_12ac335e	1250	1182	336	362	739	214	1109	1163
simvarmass_CY5L_13e08ce8	1868	1777	350	540	1133	146	1596	1588
simvarmass_CY5L_14bcf616	642	609	38	590	417	196	580	588
simvarmass_CY5L_14dede87	193	184	24	167	121	204	163	166
simvarmass_CY5L_150a2128	1617	1530	40	1455	1092	312	1423	3438
simvarmass_CY5L_1562ae4c	1874	1776	429	344	1168	98	1632	1625
simvarmass_CY5L_167c7182	327	308	24	308	210	306	311	2237
simvarmass_CY5L_16a81823	670	638	31	611	561	149	599	597
simvarmass_CY5L_190a4024	1316	1249	43	1208	1043	176	1182	1176
simvarmass_CY5L_1a06e206	1127	1066	399	237	757	92	1001	998
simvarmass_CY5L_1ac1b13a	1515	1425	325	443	933	197	1309	1321
simvarmass_CY5L_1c94f091	1790	1689	514	150	1024	197	1579	1594
simvarmass_CY5L_1c9c6a5f	706	675	56	654	455	174	648	646
simvarmass_CY5L_1d398611	1100	1052	132	957	821	198	1005	1018
simvarmass_CY5L_1dc6dcaa	367	343	22	327	258	161	323	321
simvarmass_CY5L_1e495a5d	77	74	37	67	61	196	65	68
simvarmass_CY5L_1f0383ed	643	596	33	583	496	161	576	570
simvarmass_CY5L_1f2b45f8	1357	1271	467	325	1042	108	1168	1167
simvarmass_CY5L_1f939cf0	1747	1639	135	1518	1365	181	1536	1531
simvarmass_CY5L_201f7a2d	422	405	25	399	347	123	395	393
simvarmass_CY5L_22977c18	716	688	28	671	460	118	656	654
simvarmass_CY5L_22d33ae7	1592	1513	620	145	1261	283	1429	2627
simvarmass_CY5L_237f4c72	2510	2350	400	640	1718	138	2139	2132
simvarmass_CY5L_2554166f	363	346	23	324	203	89	319	319
simvarmass_CY5L_258ca893	2390	2266	46	2059	1341	190	2012	2017
simvarmass_CY5L_25a36c92	1200	1134	103	1009	798	121	1069	1067
simvarmass_CY5L_26f50e87	85	81	30	80	66	460	82	10112
simvarmass_CY5L_28d950c6	2052	1953	340	1105	1572	183	1789	1788
simvarmass_CY5L_2c4ec817	2084	1974	580	153	1317	189	1798	1800
simvarmass_CY5L_2cbc3d23	206	199	27	200	176	328	205	2983
simvarmass_CY5L_2ee74e9f	455	411	27	414	296	294	403	1647
simvarmass_CY5L_30cb6637	2077	1956	71	1856	1767	148	1818	1809
simvarmass_CY5L_32a3aeb6	2161	2049	367	581	1352	144	1874	1846
simvarmass_CY5L_33842744	2381	2250	395	772	1826	176	2055	2051
simvarmass_CY5L_340e180a	2205	2086	486	427	1594	7	15641	1883
simvarmass_CY5L_3411b650	1251	1200	152	1125	1066	116	1136	1131
simvarmass_CY5L_3417dfb5	1726	1638	73	1539	1189	128	1513	1504
simvarmass_CY5L_34ee1647	2272	2128	506	418	1845	122	1938	1931
simvarmass_CY5L_35a74d8f	1070	1020	36	977	681	157	966	963
simvarmass_CY5L_3ac13591	2264	2125	505	409	1813	7	16641	1976
simvarmass_CY5L_3baeb3a0	566	537	28	535	437	258	526	914
simvarmass_CY5L_3c3d0b00	47	45	21	39	30	85	39	39
simvarmass_CY5L_3ce660ee	1288	1212	203	952	1006	201	1163	1183
simvarmass_CY5L_3f293d0a	2034	1941	170	1487	1393	133	1772	1762
simvarmass_CY5L_3fbeb461	957	899	233	402	537	95	843	836
simvarmass_CY5L_404f03b0	2080	1963	194	1514	1535	150	1802	1788
simvarmass_CY5L_432f525a	1011	945	396	214	627	106	900	894
simvarmass_CY5L_433b52eb	607	580	29	572	366	207	562	588
simvarmass_CY5L_445780d7	1928	1815	360	599	1344	129	1661	1640
simvarmass_CY5L_463f3d0e	1455	1376	361	613	1149	95	1284	1281
