IMGNAME,SPOTS_ACTUAL,BKG_LVL,AMP_LVL,BKG_VAR,AMP_VAR,CLUSTERING,HB_SPOTS,PRAUC_HB,FSPEAK_HB,HB_FSCORE,HB_MAXREC,HBTr_SPOTS,PRAUC_HBTr,FSPEAK_HBTr,HBTr_FSCORE,HBTr_MAXREC,BF_SPOTS,PRAUC_BF,FSPEAK_BF,BF_FSCORE,BF_MAXREC,PRAUC_RS,FSPEAK_RS,RS_MAXREC,PRAUC_DB,FSPEAK_DB,DB_MAXREC,FILT_PROP_ZERO,PRAUC_DBALT,FSPEAK_DBALT,DBALT_MAXREC,BASE_SNR,ALVL_TO_BKGVAR_SNR,XY_DIM,Z_DIM,ADJ_FACTOR,ACTUAL_SPOTS_PER_VOXBOX,SNR_SUBBKG,SNR_SUBBKG_STDBKG
sim_mESC_histone_100x_1,9983,1000,2500,0.1,0.55,<UNK>,9417,0.951965,0.973059,0.970825,0.95893,9417,0.960334,0.977431,0.975198,0.967361,9877,0.962569,0.979619,0.966566,0.966944,0.908142,0.951537,0.919463,0.663206,0.724643,0.691976,0.522283,0.740561,0.836394,0.743063,0.522283,25,2048,81,838860.8,0.011900663,1.5,15
sim_mESC_histone_100x_2,9827,1000,2500,0.1,0.55,<UNK>,9381,0.962362,0.978248,0.976364,0.967131,9381,0.972156,0.983302,0.981422,0.976974,9786,0.972872,0.985082,0.974252,0.975679,0.921605,0.959395,0.93528,0.671075,0.728987,0.70113,0.52221,0.754977,0.844152,0.757607,NaN,25,2048,81,838860.8,0.011714697,1.5,15
sim_mESC_histone_100x_3,9952,1000,2500,0.1,0.55,<UNK>,9480,0.958736,0.976797,0.975298,0.963123,9480,0.967584,0.981381,0.979887,0.972011,9919,0.969616,0.982937,0.970359,0.971564,0.915477,0.956418,0.928356,0.664766,0.724722,0.694735,0.522294,0.753012,0.843869,0.755125,NaN,25,2048,81,838860.8,0.011863708,1.5,15
sim_mESC_RNA_100x_1,307,250,3000,0.05,0.5,<UNK>,159,0.519682,0.682403,0.682403,0.527687,159,0.519682,0.682403,0.682403,0.527687,156,0.514106,0.673866,0.673866,0.517915,0.499119,0.666667,0.514658,0.424637,0.565875,0.449511,0.573829,0.565943,0.694215,0.592834,0.573829,240,2048,69,714585.1259,0.00042962,11,220
sim_mESC_RNA_100x_2,290,250,3000,0.05,0.5,<UNK>,211,0.732759,0.844622,0.842315,0.734483,211,0.735294,0.846307,0.844,0.737024,211,0.729311,0.842315,0.842315,0.731034,0.651589,0.790323,0.675862,0.582865,0.675522,0.655172,0.573931,0.787117,0.849624,0.817241,0.573931,240,2048,69,714585.1259,0.00040583,11,220
sim_mESC_RNA_100x_3,274,250,3000,0.05,0.5,<UNK>,147,0.538322,0.698337,0.698337,0.540146,147,0.540294,0.7,0.7,0.542125,146,0.531023,0.692124,0.690476,0.532847,0.481722,0.641509,0.49635,0.42323,0.576832,0.459854,0.573791,0.609438,0.733624,0.645985,0.573791,240,2048,69,714585.1259,0.000383439,11,220
sim_mESC_RNA_LE_100x_1,55,250,3000,0.05,0.5,<UNK>,37,0.672727,0.804348,0.804348,0.672727,37,0.685185,0.813187,0.813187,0.685185,39,0.690909,0.817204,0.808511,0.690909,0.587889,0.731183,0.618182,0.576326,0.725275,0.618182,0.573613,0.690166,0.816327,0.745455,0.573613,240,2048,69,714585.1259,7.69677E-05,11,220
sim_mESC_RNA_LE_100x_2,47,250,3000,0.05,0.5,<UNK>,33,0.702128,0.825,0.825,0.702128,33,0.717391,0.835443,0.835443,0.717391,35,0.723404,0.839506,0.829268,0.723404,0.617988,0.765432,0.659574,0.550284,0.659091,0.659574,0.573586,0.707592,0.785714,0.829787,0.573586,240,2048,69,714585.1259,6.57724E-05,11,220
sim_mESC_RNA_LE_100x_3,50,250,3000,0.05,0.5,<UNK>,47,0.950002,0.969072,0.969072,0.96,47,0.96939,0.979167,0.979167,0.979592,49,0.970001,0.979592,0.969697,0.98,0.717544,0.821053,0.8,0.787081,0.845361,0.84,0.573637,0.767057,0.823529,0.96,0.573637,240,2048,69,714585.1259,6.99707E-05,11,220
sim_mESC_RNA_LEHB_100x_1,56,250,3000,0.15,0.5,<UNK>,46,0.821429,0.901961,0.901961,0.821429,46,0.821429,0.901961,0.901961,0.821429,80,0.821429,0.901961,0.676471,0.821429,0.790831,0.868687,0.803571,0.623399,0.729167,0.660714,0.511146,0.798477,0.854369,0.839286,0.511146,80,2048,69,714585.1259,7.83672E-05,11,73.33333333
sim_mESC_RNA_LEHB_100x_2,52,250,3000,0.15,0.5,<UNK>,34,0.653846,0.790698,0.790698,0.653846,34,0.653846,0.790698,0.790698,0.653846,49,0.653846,0.790698,0.673267,0.653846,0.591671,0.735632,0.615385,0.561912,0.690476,0.576923,0.511183,0.646601,0.778947,0.711538,0.511183,80,2048,69,714585.1259,7.27695E-05,11,73.33333333
