IMGNAME,SPOTS_ACTUAL,SPOTS_ACTUAL_XYTRIM,BKG_LVL,AMP_LVL,BKG_VAR,AMP_VAR,CLUSTERING,HB_SPOTS,PRAUC_HB,FSPEAK_HB,HB_FSCORE,HB_MAXREC,HBTr_SPOTS,PRAUC_HBTr,FSPEAK_HBTr,HBTr_FSCORE,HBTr_MAXREC,BF_SPOTS,PRAUC_BF,FSPEAK_BF,BF_FSCORE,BF_MAXREC,BFTr_SPOTS,PRAUC_BFTr,FSPEAK_BFTr,BFTr_FSCORE,BFTr_MAXREC,PRAUC_RS,FSPEAK_RS,RS_MAXREC,PRAUC_RSTr,FSPEAK_RSTr,RSTr_MAXREC,PRAUC_DB,FSPEAK_DB,DB_MAXREC,PRAUC_DBTr,FSPEAK_DBTr,DBTr_MAXREC,PRAUC_DBALT,FSPEAK_DBALT,DBALT_MAXREC,PRAUC_DBALTTr,FSPEAK_DBALTTr,DBALTTr_MAXREC,FILT_PROP_ZERO,BASE_SNR,ALVL_TO_BKGVAR_SNR,XY_DIM,Z_DIM,ADJ_FACTOR,ACTUAL_SPOTS_PER_VOXBOX,SNR_SUBBKG,SNR_SUBBKG_STDBKG
sim_mESC_histone_100x_1,9983,9860,1000,2500,0.1,0.55,<UNK>,9433,0.951965,0.973059,0.971673,0.95893,9433,0.960334,0.977431,0.976046,0.967361,9877,0.962569,0.979619,0.966566,0.966944,9698,0.96213,0.97941,0.968913,0.966531,0.908182,0.951537,0.919463,0.909344,0.952166,0.920588,0.672468,0.724643,0.704297,0.672521,0.725234,0.703955,0.74399,0.836394,0.746669,0.744211,0.836701,0.746805,0.522283,2.5,25,2048,81,838860.8,0.011900663,1.5,15
sim_mESC_histone_100x_2,9827,9685,1000,2500,0.1,0.55,<UNK>,9402,0.962362,0.978248,0.977378,0.967131,9402,0.972156,0.983302,0.982436,0.976974,9786,0.972872,0.985082,0.974252,0.975679,9584,0.972695,0.985237,0.977113,0.975426,0.921598,0.959395,0.93528,0.923762,0.960546,0.937539,0.681637,0.728987,0.715274,0.68085,0.728807,0.7143,0.758454,0.844152,0.76127,0.757716,0.844106,0.760488,0.52221,2.5,25,2048,81,838860.8,0.011714697,1.5,15
sim_mESC_histone_100x_3,9952,9829,1000,2500,0.1,0.55,<UNK>,9496,0.958736,0.976797,0.976142,0.963123,9496,0.967584,0.981381,0.98073,0.972011,9919,0.969616,0.982937,0.970359,0.971564,9747,0.969254,0.983037,0.972415,0.971208,0.91544,0.956418,0.928356,0.916729,0.957114,0.9298,0.673794,0.724722,0.706793,0.67332,0.724969,0.706205,0.756743,0.843943,0.759043,0.756421,0.844162,0.758652,0.522294,2.5,25,2048,81,838860.8,0.011863708,1.5,15
sim_mESC_RNA_100x_1,307,307,250,3000,0.05,0.5,<UNK>,159,0.519682,0.682403,0.682403,0.527687,159,0.519682,0.682403,0.682403,0.527687,156,0.514106,0.673866,0.673866,0.517915,156,0.514258,0.673866,0.673866,0.517915,0.499289,0.666667,0.514658,0.499289,0.666667,0.514658,0.42696,0.565875,0.452769,0.42696,0.565875,0.452769,0.573137,0.694215,0.602606,0.573137,0.694215,0.602606,0.573829,12,240,2048,69,714585.1259,0.00042962,11,220
sim_mESC_RNA_100x_2,290,288,250,3000,0.05,0.5,<UNK>,210,0.732759,0.844622,0.84,0.734483,210,0.735294,0.846307,0.841683,0.737024,211,0.729311,0.842315,0.842315,0.731034,209,0.727431,0.841046,0.841046,0.729167,0.65125,0.790323,0.675862,0.649031,0.788618,0.673611,0.587096,0.675522,0.662069,0.587678,0.67433,0.659722,0.792731,0.849624,0.824138,0.791309,0.848485,0.822917,0.573931,12,240,2048,69,714585.1259,0.00040583,11,220
sim_mESC_RNA_100x_3,274,271,250,3000,0.05,0.5,<UNK>,145,0.538322,0.698337,0.692124,0.540146,145,0.540294,0.7,0.69378,0.542125,146,0.531023,0.692124,0.690476,0.532847,142,0.525831,0.687651,0.687651,0.527675,0.482134,0.641509,0.49635,0.480234,0.639618,0.494465,0.434716,0.576832,0.478102,0.429606,0.574163,0.472325,0.612247,0.733624,0.649635,0.607829,0.730088,0.645756,0.573791,12,240,2048,69,714585.1259,0.000383439,11,220
sim_mESC_RNA_LE_100x_1,55,54,250,3000,0.05,0.5,<UNK>,37,0.672727,0.804348,0.804348,0.672727,37,0.685185,0.813187,0.813187,0.685185,39,0.690909,0.817204,0.808511,0.690909,37,0.685185,0.813187,0.813187,0.685185,0.587901,0.731183,0.618182,0.582245,0.725275,0.611111,0.587779,0.725275,0.636364,0.598664,0.733333,0.648148,0.690166,0.816327,0.745455,0.684449,0.8125,0.740741,0.573613,12,240,2048,69,714585.1259,7.69677E-05,11,220
sim_mESC_RNA_LE_100x_2,47,46,250,3000,0.05,0.5,<UNK>,33,0.702128,0.825,0.825,0.702128,33,0.717391,0.835443,0.835443,0.717391,35,0.723404,0.839506,0.829268,0.723404,33,0.717391,0.835443,0.835443,0.717391,0.615721,0.765432,0.659574,0.608659,0.759494,0.652174,0.550284,0.659091,0.659574,0.54176,0.658824,0.652174,0.707592,0.785714,0.829787,0.702241,0.780488,0.826087,0.573586,12,240,2048,69,714585.1259,6.57724E-05,11,220
sim_mESC_RNA_LE_100x_3,50,49,250,3000,0.05,0.5,<UNK>,47,0.950002,0.969072,0.969072,0.96,47,0.96939,0.979167,0.979167,0.979592,49,0.970001,0.979592,0.969697,0.98,48,0.969389,0.979167,0.969072,0.979592,0.717544,0.821053,0.8,0.714051,0.817204,0.795918,0.802549,0.845361,0.86,0.803631,0.863158,0.857143,0.778166,0.823529,0.98,0.77387,0.82,0.979592,0.573637,12,240,2048,69,714585.1259,6.99707E-05,11,220
sim_mESC_RNA_LEHB_100x_1,56,56,250,3000,0.15,0.5,<UNK>,47,0.821429,0.901961,0.893204,0.821429,47,0.821429,0.901961,0.893204,0.821429,80,0.821429,0.901961,0.676471,0.821429,70,0.821429,0.901961,0.730159,0.821429,0.790831,0.868687,0.803571,0.791076,0.868687,0.803571,0.637352,0.729167,0.678571,0.637352,0.729167,0.678571,0.829133,0.859813,0.875,0.829133,0.859813,0.875,0.511146,12,80,2048,69,714585.1259,7.83672E-05,11,73.33333333
