IMGNAME	GROUP_A	GROUP_B	THVAL_HB	SPOTS_HB	FSCORE_HB	THVAL_BF	SPOTS_BF	FSCORE_BF
mESC4d_Tsix-AF594	Tsix_AF594	mESC4d_Tsix	72	353	0.729776	151	318	0.747253
mESC4d_Xist-CY5	Xist_CY5	Xist_Hi	62	322	0.760135	130	339	0.656814
scrna_E1R2I4_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	84	6401	0.878317	150	4608	0.786298
scrna_E1R2I4_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	166	1279	0.895522	113	847	0.817564
scrna_E2R1I2_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	104	4099	0.828669	638	202	0.122988
scrna_E2R1I2_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	162	4137	0.823730	551	167	0.099480
scrna_E2R2I3_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	81	1036	0.916201	193	830	0.774816
scrna_E2R2I3_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	98	1026	0.869945	273	684	0.759409
scrna_E2R2I5_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	66	850	0.933251	201	607	0.775837
scrna_E2R2I5_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	104	513	0.894260	317	369	0.725559
mESC_loday_D0I18_Xist	Xist_CY5	Xist_Lo	58	109	0.895928	150	136	0.733871
mESC_loday_D0I18_Tsix	Tsix_TMR	Tsix_loday	118	356	0.793388	287	273	0.819923
mESC_loday_D0I04_Xist	Xist_CY5	Xist_Lo	48	26	0.941176	152	88	0.442478
mESC_loday_D0I04_Tsix	Tsix_TMR	Tsix_loday	105	NaN	NaN	192	NaN	NaN
mESC_loday_D0I29_Xist	Xist_CY5	Xist_Lo	56	NaN	NaN	132	NaN	NaN
mESC_loday_D0I29_Tsix	Tsix_TMR	Tsix_loday	110	NaN	NaN	264	NaN	NaN
mESC_loday_D0I40_Xist	Xist_CY5	Xist_Lo	50	NaN	NaN	158	NaN	NaN
mESC_loday_D0I40_Tsix	Tsix_TMR	Tsix_loday	101	NaN	NaN	244	NaN	NaN
mESC_loday_DHI07_Xist	Xist_CY5	Xist_Lo	64	29	0.658537	164	71	0.661290
mESC_loday_DHI07_Tsix	Tsix_TMR	Tsix_loday	108	NaN	NaN	147	NaN	NaN
mESC_loday_DHI32_Xist	Xist_CY5	Xist_Lo	54	20	0.816327	137	94	0.422764
mESC_loday_DHI32_Tsix	Tsix_TMR	Tsix_loday	104	NaN	NaN	181	NaN	NaN
mESC_loday_D1I02_Xist	Xist_CY5	Xist_Hi	57	125	0.718447	53	241	0.743529
mESC_loday_D1I02_Tsix	Tsix_TMR	Tsix_loday	111	511	0.720988	204	387	0.752187
mESC_loday_D1I15_Xist	Xist_CY5	Xist_Hi	60	298	0.863551	137	262	0.689379
mESC_loday_D1I15_Tsix	Tsix_TMR	Tsix_loday	106	NaN	NaN	256	NaN	NaN
mESC_loday_D1I32_Xist	Xist_CY5	Xist_Hi	37	NaN	NaN	98	NaN	NaN
mESC_loday_D1I32_Tsix	Tsix_TMR	Tsix_loday	98	NaN	NaN	174	NaN	NaN
scprotein_Msb2_2M1m	scprotein	Msb2	119	NaN	NaN	221	NaN	NaN
scprotein_Msb2_2M5m	scprotein	Msb2	116	NaN	NaN	5	NaN	NaN
scprotein_Msb2_4M1m	scprotein	Msb2	105	903	0.746392	782	1330	0.566078
scprotein_Msb2_4M5m	scprotein	Msb2	120	1082	0.813000	246	15477	0.108494
scprotein_Msb2_NoSalt	scprotein	Msb2	107	NaN	NaN	728	NaN	NaN
scprotein_Opy2_2M1m	scprotein	Opy2	114	NaN	NaN	289	NaN	NaN
scprotein_Opy2_2M5m	scprotein	Opy2	108	NaN	NaN	88	NaN	NaN
scprotein_Opy2_4M1m	scprotein	Opy2	107	271	0.804159	33	36399	0.016565
scprotein_Opy2_4M5m	scprotein	Opy2	104	319	0.804734	863	752	0.620939
scprotein_Opy2_NoSalt	scprotein	Opy2	119	NaN	NaN	55	NaN	NaN
